date,index,setup,direction,bias,gap_pct,signal_time,entry_time,entry_spot,sl_spot,tp_spot,sl_pts,lots,lot_size,quantity,exit_spot,gross_pnl,net_pnl,pnl_pct,exit_reason
2024-10-04,NIFTY,ORB,CALL,BEARISH,-0.333,11:55:00,12:00:00,25420.85,25344.99,25577.93,75.86,1,50,50,25291.45,-6520.0,-6686.45,-0.53,SL hit
2024-10-07,NIFTY,ORB,PUT,NEUTRAL,0.14,10:35:00,10:40:00,24972.15,25047.3,24910.25,75.15,1,50,50,24900.15,3650.0,3485.5,0.28,TP hit
2024-10-07,NIFTY,ORB,PUT,NEUTRAL,0.14,11:05:00,11:10:00,24862.65,24937.8,24812.92,75.15,1,50,50,24956.15,-4625.0,-4789.78,-0.39,SL hit
2024-10-18,NIFTY,ORB,CALL,BEARISH,-0.344,10:30:00,10:35:00,24742.05,24667.97,24885.9,74.08,1,50,50,24845.2,5107.5,4943.28,0.4,Hard close (15:15)
2024-10-22,NIFTY,ORB,PUT,NEUTRAL,0.239,11:55:00,12:00:00,24683.05,24757.32,24607.3,74.27,1,50,50,24598.95,4255.0,4092.01,0.33,TP hit
2024-10-23,NIFTY,ORB,CALL,BEARISH,-0.423,11:00:00,11:05:00,24587.85,24514.29,24736.35,73.56,1,50,50,24555.75,-1655.0,-1817.78,-0.15,NO_MOVE_EXTENDED
2024-10-25,NIFTY,ORB,PUT,NEUTRAL,0.014,10:50:00,10:55:00,24124.9,24197.84,24076.65,72.94,1,50,50,24101.45,1222.5,1062.0,0.09,NO_MOVE_EXTENDED
2024-10-25,NIFTY,SMC,CALL,NEUTRAL,0.014,13:40:00,13:45:00,24130.15,24082.0,24226.45,48.15,1,50,50,24208.15,3850.0,3688.96,0.31,Hard close (15:15)
2024-10-28,NIFTY,ORB,CALL,NEUTRAL,0.162,11:10:00,11:15:00,24399.6,24326.72,24513.78,72.88,1,50,50,24307.65,-4647.5,-4809.04,-0.39,SL hit
2024-10-29,NIFTY,VWAP,CALL,NEUTRAL,-0.159,11:35:00,11:40:00,24226.35,24177.9,0.0,48.45,1,50,50,24464.5,11857.5,11695.18,0.97,Hard close (15:15)
2024-10-30,NIFTY,ORB,CALL,BEARISH,-0.338,11:20:00,11:25:00,24466.2,24392.89,24584.73,73.31,1,50,50,24449.9,-865.0,-1027.25,-0.08,NO_MOVE_EXTENDED
2024-10-30,NIFTY,VWAP,PUT,BEARISH,-0.338,13:15:00,13:20:00,24395.9,24444.69,0.0,48.79,1,50,50,24342.05,2742.5,2580.79,0.21,Hard close (15:15)
2024-11-04,NIFTY,ORB,PUT,NEUTRAL,0.063,11:00:00,11:05:00,23854.45,23926.62,23665.25,72.17,1,50,50,23946.45,-4550.0,-4709.73,-0.39,SL hit
2024-11-05,NIFTY,ORB,PUT,BEARISH,-0.31,11:40:00,11:45:00,23866.5,23938.23,23732.25,71.73,1,50,50,23908.3,-2040.0,-2199.54,-0.18,NO_MOVE_TREND_LOST
2024-11-06,NIFTY,ORB,CALL,BULLISH,0.457,11:50:00,11:55:00,24424.65,24351.59,24575.8,73.06,1,50,50,24451.15,1275.0,1112.75,0.09,NO_MOVE_EXTENDED
2024-11-11,NIFTY,ORB,CALL,NEUTRAL,-0.096,11:10:00,11:15:00,24309.35,24236.88,24386.73,72.47,1,50,50,24235.0,-3767.5,-3928.67,-0.32,SL hit
2024-11-13,NIFTY,SMC,CALL,NEUTRAL,-0.086,13:10:00,13:15:00,23673.55,23622.05,23776.55,51.5,1,50,50,23612.85,-3085.0,-3243.06,-0.27,SL hit
2024-11-27,NIFTY,SMC,CALL,NEUTRAL,0.049,11:55:00,12:00:00,24193.8,24151.7,24278.0,42.1,1,50,50,24287.25,4622.5,4461.07,0.37,TP hit
2024-11-28,NIFTY,VWAP,PUT,NEUTRAL,-0.013,10:30:00,10:35:00,24225.65,24274.1,0.0,48.45,1,50,50,23929.2,14872.5,14712.86,1.21,Hard close (15:15)
2024-11-29,NIFTY,ORB,CALL,NEUTRAL,-0.126,10:30:00,10:35:00,24105.3,24033.15,24232.65,72.15,1,50,50,24094.55,-587.5,-747.97,-0.06,NO_MOVE_EXTENDED
2024-12-03,NIFTY,SMC,PUT,BULLISH,0.38,11:55:00,12:00:00,24439.1,24449.7,24417.9,10.6,1,50,50,24413.4,1335.0,1172.94,0.1,TP hit
2024-12-04,NIFTY,VWAP,PUT,NEUTRAL,0.175,11:55:00,12:00:00,24416.35,24465.18,0.0,48.83,1,50,50,24475.2,-2892.5,-3054.87,-0.25,SL hit
2024-12-05,NIFTY,ORB,PUT,BULLISH,0.317,10:55:00,11:00:00,24331.45,24404.8,24282.79,73.35,1,50,50,24516.75,-9215.0,-9377.58,-0.77,SL hit
2024-12-09,NIFTY,VWAP,PUT,NEUTRAL,-0.142,12:30:00,12:35:00,24636.2,24685.47,0.0,49.27,1,50,50,24645.5,-415.0,-578.22,-0.05,NO_MOVE_TREND_LOST
2024-12-13,NIFTY,ORB,PUT,NEUTRAL,-0.168,10:30:00,10:35:00,24210.05,24283.19,24161.63,73.14,1,50,50,24317.25,-5310.0,-5471.58,-0.45,SL hit
2024-12-16,NIFTY,ORB,PUT,NEUTRAL,-0.113,11:10:00,11:15:00,24628.05,24702.09,24531.5,74.04,1,50,50,24650.25,-1060.0,-1223.25,-0.1,NO_MOVE_EXTENDED
2024-12-16,NIFTY,SMC,PUT,NEUTRAL,-0.113,13:20:00,13:25:00,24648.5,24689.1,24567.3,40.6,1,50,50,24675.8,-1315.0,-1478.38,-0.12,NO_MOVE_TREND_LOST
2024-12-19,NIFTY,SMC,PUT,BEARISH,-1.394,11:35:00,11:40:00,23988.1,24014.9,23934.5,26.8,1,50,50,23975.2,695.0,535.13,0.04,NO_MOVE_TREND_LOST
2024-12-23,NIFTY,ORB,CALL,BULLISH,0.452,10:55:00,11:00:00,23825.35,23753.93,23963.85,71.42,1,50,50,23808.0,-917.5,-1076.54,-0.09,NO_MOVE_TREND_LOST
2024-12-23,NIFTY,VWAP,PUT,BULLISH,0.452,12:00:00,12:05:00,23781.55,23829.11,0.0,47.56,1,50,50,23733.95,2430.0,2271.33,0.19,Trail SL
2024-12-24,NIFTY,ORB,CALL,NEUTRAL,0.092,10:40:00,10:45:00,23827.6,23756.21,23930.77,71.39,1,50,50,23793.3,-1765.0,-1923.96,-0.16,NO_MOVE_EXTENDED
2024-12-26,NIFTY,ORB,PUT,NEUTRAL,0.192,10:45:00,10:50:00,23713.0,23784.32,23652.25,71.32,1,50,50,23749.8,-1790.0,-1948.75,-0.16,Hard close (15:15)
2024-12-30,NIFTY,ORB,CALL,NEUTRAL,-0.149,10:45:00,10:50:00,23840.45,23768.99,23983.35,71.46,1,50,50,23767.2,-3712.5,-3871.33,-0.32,SL hit
2024-12-31,NIFTY,PDH_PDL,CALL,BEARISH,-0.414,11:40:00,11:45:00,23612.9,23565.67,23660.13,47.23,1,50,50,23584.85,-1452.5,-1610.42,-0.14,NO_MOVE_TREND_LOST
2024-12-31,NIFTY,PDH_PDL,CALL,BEARISH,-0.414,13:20:00,13:25:00,23614.3,23567.07,23661.53,47.23,1,50,50,23669.4,2705.0,2546.66,0.22,TP hit
2025-01-01,NIFTY,ORB,CALL,NEUTRAL,-0.132,10:45:00,10:50:00,23712.85,23641.8,23811.4,71.05,1,50,50,23738.5,1232.5,1073.81,0.09,NO_MOVE_EXTENDED
