date,index,setup,direction,bias,gap_pct,signal_time,entry_time,entry_spot,entry_premium,sl_spot,lots,lot_size,quantity,exit_premium,gross_pnl,net_pnl,pnl_pct,exit_reason,dte
2024-04-19,NIFTY,ORB,CALL,BEARISH,-0.836,11:50:00,11:55:00,21905.5,168.51,21842.96,1,50,50,44.19,6115.85,6075.17,72.53,Short TP,6
2024-04-25,NIFTY,VWAP,PUT,BEARISH,-0.425,10:50:00,10:55:00,22347.8,185.69,22414.8,1,50,50,282.42,-4936.5,-4980.75,-53.94,Hard close (14:30),7
2024-05-06,NIFTY,VWAP,CALL,BULLISH,0.467,11:55:00,12:00:00,22519.35,122.5,22492.2,1,50,50,157.73,-1861.26,-1903.64,-31.34,Hard close (14:30),3
2024-05-07,NIFTY,SMC,CALL,NEUTRAL,0.141,10:55:00,11:00:00,22343.8,99.24,22288.9,1,50,50,106.83,-479.47,-521.09,-10.61,Hard close (14:30),2
2024-05-08,NIFTY,VWAP,CALL,BEARISH,-0.329,11:15:00,11:20:00,22287.8,70.0,22235.0,1,50,50,68.39,-19.49,-60.53,-1.75,Hard close (14:30),1
2024-05-09,NIFTY,SMC,CALL,BEARISH,-0.367,13:25:00,13:30:00,22048.9,183.21,22011.05,1,50,50,183.26,-102.64,-145.4,-1.6,Hard close (14:30),7
2024-05-15,NIFTY,VWAP,PUT,NEUTRAL,0.143,11:25:00,11:30:00,22176.55,69.65,22229.9,1,50,50,69.65,-99.8,-140.86,-4.1,Hard close (14:30),1
2024-05-16,NIFTY,ORB,PUT,BULLISH,0.49,10:45:00,10:50:00,22135.1,170.28,22264.44,1,50,50,161.59,334.48,292.04,3.45,Hard close (14:30),6
2024-05-23,NIFTY,ORB,CALL,NEUTRAL,-0.028,11:55:00,12:00:00,22760.5,71.48,22653.92,1,50,50,15.53,2697.4,2657.15,75.4,Short TP,1
2024-05-24,NIFTY,PDH_PDL,PUT,NEUTRAL,-0.088,10:25:00,10:30:00,22935.5,176.44,23035.21,1,50,50,159.18,763.01,720.61,8.21,Hard close (14:30),6
2024-05-29,NIFTY,SMC,PUT,BEARISH,-0.463,12:50:00,12:55:00,22765.2,71.5,22812.4,1,50,50,56.49,650.35,609.49,17.29,Hard close (14:30),1
2024-06-06,NIFTY,ORB,CALL,BULLISH,0.999,11:30:00,11:35:00,22830.15,189.7,22752.43,1,50,50,214.83,-1356.44,-1399.68,-14.83,Hard close (14:30),7
2024-06-07,NIFTY,ORB,CALL,NEUTRAL,-0.119,10:35:00,10:40:00,23041.65,177.25,22904.38,1,50,50,47.6,6382.49,6341.76,71.96,Short TP,6
2024-06-10,NIFTY,PDH_PDL,PUT,NEUTRAL,0.211,10:35:00,10:40:00,23321.9,126.86,23373.32,1,50,50,77.92,2347.16,2305.98,36.64,Hard close (14:30),3
2024-06-12,NIFTY,VWAP,PUT,BULLISH,0.355,11:25:00,11:30:00,23378.85,73.42,23421.35,1,50,50,49.68,1086.94,1046.18,28.89,Hard close (14:30),1
2024-06-19,NIFTY,ORB,PUT,NEUTRAL,0.287,10:55:00,11:00:00,23508.2,73.83,23561.72,1,50,50,118.0,-2308.25,-2350.04,-64.53,Hard close (14:30),1
2024-06-21,NIFTY,ORB,PUT,BULLISH,0.348,10:40:00,10:45:00,23544.8,181.12,23603.4,1,50,50,93.98,4257.0,4215.57,46.81,Hard close (14:30),6
2024-06-24,NIFTY,ORB,CALL,BEARISH,-0.302,11:00:00,11:05:00,23505.0,127.86,23412.44,1,50,50,105.58,1013.92,972.32,15.33,Hard close (14:30),3
2024-07-02,NIFTY,VWAP,PUT,BULLISH,0.438,11:40:00,11:45:00,24131.6,107.18,24162.7,1,50,50,96.32,442.94,401.48,7.56,Hard close (14:30),2
2024-07-08,NIFTY,PDH_PDL,PUT,NEUTRAL,0.052,10:30:00,10:35:00,24280.3,132.07,24382.42,1,50,50,121.68,419.44,377.6,5.76,Hard close (14:30),3
2024-07-12,NIFTY,ORB,CALL,NEUTRAL,0.203,10:55:00,11:00:00,24528.5,188.69,24411.26,1,50,50,142.17,2225.89,2183.74,23.27,Hard close (14:30),6
2024-07-18,NIFTY,VWAP,CALL,NEUTRAL,-0.233,12:10:00,12:15:00,24607.0,204.46,24559.0,1,50,50,98.12,5217.1,5175.61,50.88,Hard close (14:30),7
2024-07-22,NIFTY,ORB,CALL,BEARISH,-0.327,10:45:00,10:50:00,24593.6,133.78,24464.71,1,50,50,149.42,-882.1,-924.35,-13.92,Hard close (14:30),3
2024-07-23,NIFTY,VWAP,CALL,NEUTRAL,0.216,11:00:00,11:05:00,24508.8,108.85,24482.25,1,50,50,214.54,-5384.67,-5427.9,-100.66,Short SL,2
2024-07-29,NIFTY,VWAP,CALL,BULLISH,0.368,10:55:00,11:00:00,24930.7,135.61,24891.2,1,50,50,155.41,-1090.12,-1132.47,-16.83,Hard close (14:30),3
2024-07-30,NIFTY,ORB,CALL,NEUTRAL,-0.006,11:50:00,11:55:00,24923.7,110.7,24859.31,1,50,50,85.46,1162.18,1120.88,20.44,Hard close (14:30),2
2024-08-05,NIFTY,ORB,PUT,BEARISH,-1.606,10:45:00,10:50:00,24145.75,131.34,24239.76,1,50,50,12.94,5820.19,5779.98,88.69,Short TP,3
2024-08-05,NIFTY,ORB,PUT,BEARISH,-1.606,11:25:00,11:30:00,24005.95,130.58,24239.76,1,50,50,128.69,-5.54,-47.49,-0.73,Hard close (14:30),3
2024-08-09,NIFTY,PDH_PDL,PUT,BULLISH,1.196,10:20:00,10:25:00,24336.4,170.9,24366.58,1,50,50,149.55,967.74,925.48,10.89,Hard close (14:30),5
2024-08-16,NIFTY,VWAP,CALL,BULLISH,0.788,11:25:00,11:30:00,24313.3,187.04,24245.1,1,50,50,84.83,5010.59,4969.3,53.42,Hard close (14:30),6
2024-08-28,NIFTY,ORB,CALL,NEUTRAL,0.077,11:15:00,11:20:00,25065.85,78.72,25023.1,1,50,50,48.13,1429.63,1388.89,35.74,Hard close (14:30),1
2024-09-06,NIFTY,ORB,PUT,NEUTRAL,-0.203,11:05:00,11:10:00,24876.75,191.37,25081.08,1,50,50,139.53,2492.24,2450.14,25.74,Hard close (14:30),6
2024-09-09,NIFTY,ORB,CALL,NEUTRAL,-0.181,10:40:00,10:45:00,24888.65,135.38,24818.99,1,50,50,113.6,988.91,947.19,14.1,Hard close (14:30),3
2024-09-13,NIFTY,VWAP,PUT,BULLISH,0.456,13:15:00,13:20:00,25357.2,195.07,25386.2,1,50,50,185.85,361.25,318.44,3.28,Hard close (14:30),6
2024-09-19,NIFTY,ORB,PUT,BULLISH,0.567,11:25:00,11:30:00,25439.45,211.38,25518.93,1,50,50,165.33,2202.65,2160.16,20.54,Hard close (14:30),7
2024-09-20,NIFTY,ORB,CALL,BULLISH,0.318,10:35:00,10:40:00,25660.55,197.4,25511.47,1,50,50,156.74,1933.23,1890.87,19.26,Hard close (14:30),6
2024-10-01,NIFTY,ORB,PUT,NEUTRAL,-0.133,10:30:00,10:35:00,25760.85,114.41,25823.92,1,50,50,99.57,642.2,600.69,10.59,Hard close (14:30),2
2024-10-04,NIFTY,ORB,CALL,BEARISH,-0.333,11:55:00,12:00:00,25420.85,195.56,25229.9,1,50,50,298.89,-5266.53,-5311.02,-54.6,Short SL,6
2024-10-07,NIFTY,ORB,PUT,NEUTRAL,0.14,10:35:00,10:40:00,24972.15,135.84,25077.83,1,50,50,37.04,4840.18,4799.61,71.19,Short TP,3
2024-10-18,NIFTY,ORB,CALL,BEARISH,-0.344,10:30:00,10:35:00,24742.05,190.33,24656.76,1,50,50,95.68,4632.61,4591.16,48.5,Hard close (14:30),6
2024-10-22,NIFTY,ORB,PUT,NEUTRAL,0.239,11:55:00,12:00:00,24683.05,109.63,24784.96,1,50,50,43.27,3217.95,3177.29,58.5,Hard close (14:30),2
2024-10-23,NIFTY,ORB,CALL,BEARISH,-0.423,11:00:00,11:05:00,24587.85,77.22,24478.41,1,50,50,120.47,-2262.52,-2304.34,-60.47,Short SL,1
2024-10-25,NIFTY,ORB,PUT,NEUTRAL,0.014,10:50:00,10:55:00,24124.9,185.59,24350.76,1,50,50,138.76,2241.43,2199.33,23.83,Hard close (14:30),6
2024-10-28,NIFTY,ORB,CALL,NEUTRAL,0.162,11:10:00,11:15:00,24399.6,132.72,24248.73,1,50,50,116.3,720.91,679.15,10.31,Hard close (14:30),3
2024-10-29,NIFTY,VWAP,CALL,NEUTRAL,-0.159,11:35:00,11:40:00,24226.35,107.6,24180.15,1,50,50,25.95,3982.5,3942.1,73.96,Short TP,2
2024-10-30,NIFTY,ORB,CALL,BEARISH,-0.338,11:20:00,11:25:00,24466.2,76.84,24406.79,1,50,50,115.53,-2034.47,-2076.22,-54.75,Short SL,1
2024-11-04,NIFTY,ORB,PUT,NEUTRAL,0.063,11:00:00,11:05:00,23854.45,129.76,24134.33,1,50,50,154.07,-1315.39,-1357.72,-21.09,Hard close (14:30),3
2024-11-05,NIFTY,ORB,PUT,BEARISH,-0.31,11:40:00,11:45:00,23866.5,106.0,23943.93,1,50,50,187.02,-4151.2,-4194.02,-79.89,Short SL,2
2024-11-06,NIFTY,ORB,CALL,BULLISH,0.457,11:50:00,11:55:00,24424.65,76.71,24308.14,1,50,50,17.79,2846.03,2805.75,74.12,Short TP,1
2024-11-11,NIFTY,ORB,CALL,NEUTRAL,-0.096,11:10:00,11:15:00,24309.35,132.23,24111.6,1,50,50,205.12,-3744.37,-3787.47,-57.72,Short SL,3
2024-11-13,NIFTY,SMC,CALL,NEUTRAL,-0.086,13:10:00,13:15:00,23674.45,74.35,23622.05,1,50,50,118.2,-2292.4,-2334.19,-63.65,Hard close (14:30),1
