date,index,direction,sweep_time,level_price,level_kind,wick_pts,rr,adx,trend,entry_spot,sl_spot,tp_spot,entry_premium,exit_premium,lots,lot_size,quantity,gross_pnl,net_pnl,pnl_pct,exit_reason,dte
2025-02-05,BANKNIFTY,CALL,09:40:00,50283.55,SWING_L,68.1,2.0,41.3,BULL,50445.35,50200.39,50935.28,419.16,402.34,1,15,15,-312.29,-354.09,-5.63,No-run exit,7
2025-02-06,BANKNIFTY,CALL,10:20:00,50320.85,SWING_L,32.55,2.0,22.7,NEUTRAL,50353.3,50273.21,50513.47,387.35,324.24,1,15,15,-1006.68,-1048.13,-18.04,SL hit,6
2025-02-07,BANKNIFTY,CALL,09:40:00,50438.3,SWING_L,26.7,2.0,10.4,BULL,50482.55,50396.48,50654.7,354.51,305.53,1,15,15,-794.68,-836.05,-15.72,SL hit,5
2025-02-10,BANKNIFTY,CALL,13:40:00,49871.15,PDL,47.55,2.0,10.3,NEUTRAL,49878.75,49808.65,50018.94,221.53,207.48,1,15,15,-270.72,-311.64,-9.38,No-run exit,2
2025-02-11,BANKNIFTY,PUT,13:05:00,49380.0,SWING_H,95.95,2.0,13.1,NEUTRAL,49371.2,49490.79,49132.01,155.05,155.2,1,15,15,-57.79,-98.47,-4.23,No-run exit,1
2025-02-12,BANKNIFTY,PUT,09:40:00,49079.05,SWING_H,47.7,2.0,35.4,BEAR,48998.25,49141.49,48711.77,407.13,400.99,1,15,15,-152.16,-193.95,-3.18,No-run exit,7
2025-02-14,BANKNIFTY,PUT,10:40:00,49165.75,SWING_H,183.1,2.0,23.2,BEAR,49081.15,49363.65,48516.14,344.67,358.46,1,15,15,146.92,105.31,2.04,No-run exit,5
2025-02-17,BANKNIFTY,CALL,10:30:00,48719.75,PDL,127.0,2.0,36.0,NEUTRAL,48804.95,48578.17,49258.51,216.76,229.76,1,15,15,135.07,94.05,2.89,No-run exit,2
2025-02-18,BANKNIFTY,CALL,09:40:00,49001.95,OR_L,65.05,2.0,21.3,NEUTRAL,49079.95,48922.22,49395.41,154.14,78.12,1,15,15,-1200.24,-1240.59,-53.66,SL hit (theta),1
2025-02-19,BANKNIFTY,PUT,10:45:00,49592.95,SWING_H,30.15,2.0,8.7,BULL,49502.15,49637.99,49230.48,380.81,383.35,1,15,15,-21.91,-63.62,-1.11,No-run exit,6
2025-02-20,BANKNIFTY,CALL,09:55:00,49202.85,OR_L,39.6,2.0,11.2,BULL,49263.8,49148.5,49494.4,345.95,338.07,1,15,15,-178.18,-219.69,-4.23,No-run exit,5
2025-02-21,BANKNIFTY,CALL,10:20:00,48833.8,SWING_L,69.8,2.0,13.0,NEUTRAL,48849.75,48749.37,49050.51,306.83,290.53,1,15,15,-304.51,-345.81,-7.51,No-run exit,4
2025-02-24,BANKNIFTY,CALL,11:45:00,48497.2,OR_L,35.25,2.0,22.7,BEAR,48644.55,48447.41,49038.83,152.77,90.55,1,15,15,-993.34,-1033.74,-45.11,SL hit (theta),1
2025-02-25,BANKNIFTY,PUT,10:20:00,48748.4,PDH,45.65,2.0,10.1,NEUTRAL,48665.35,48808.69,48378.67,152.84,156.07,1,15,15,-11.58,-52.27,-2.28,No-run exit,1
2025-02-28,BANKNIFTY,PUT,09:35:00,48302.7,SWING_H,31.9,2.0,22.0,NEUTRAL,48210.65,48349.1,47933.75,338.56,240.17,1,15,15,-1535.88,-1576.96,-31.05,SL hit,5
2025-03-04,BANKNIFTY,PUT,10:05:00,48302.7,SWING_H,53.0,2.0,18.4,NEUTRAL,48174.4,48370.21,47782.79,151.29,78.52,1,15,15,-1151.53,-1191.87,-52.52,SL hit (theta),1
2025-03-05,BANKNIFTY,PUT,10:00:00,48606.35,SWING_H,48.3,2.0,6.9,BULL,48571.65,48669.25,48376.46,403.59,425.77,1,15,15,272.64,230.73,3.81,No-run exit,7
2025-03-06,BANKNIFTY,CALL,11:05:00,48518.3,OR_L,42.65,2.0,10.5,BULL,48598.55,48461.11,48873.44,373.86,296.21,1,15,15,-1224.76,-1266.09,-22.58,SL hit,6
2025-03-07,BANKNIFTY,CALL,09:50:00,48412.8,OR_L,32.15,2.0,29.3,BULL,48456.4,48366.14,48636.93,340.28,447.62,1,15,15,1550.08,1508.07,29.55,Target hit,5
2025-03-10,BANKNIFTY,PUT,13:15:00,48555.7,OR_H,28.3,1.78,16.2,BEAR,48545.1,48598.58,48450.0,215.61,227.52,1,15,15,118.68,77.67,2.4,No-run exit,2
2025-03-11,BANKNIFTY,CALL,09:35:00,47756.65,OR_L,53.75,2.0,23.1,BEAR,47877.25,47688.59,48254.57,150.36,149.37,1,15,15,-74.81,-115.47,-5.12,No-run exit,1
2025-03-12,BANKNIFTY,PUT,10:50:00,48157.05,OR_H,65.1,2.0,28.1,BEAR,48100.65,48236.62,47828.72,399.67,409.7,1,15,15,90.49,48.66,0.81,No-run exit,7
2025-03-13,BANKNIFTY,PUT,11:50:00,48145.7,SWING_H,44.75,2.0,7.9,NEUTRAL,48128.05,48204.91,47974.34,370.24,317.77,1,15,15,-847.1,-888.52,-16.0,SL hit,6
2025-03-17,BANKNIFTY,PUT,11:45:00,48450.0,SWING_H,31.35,2.0,10.6,BEAR,48435.7,48495.89,48315.31,215.12,216.42,1,15,15,-40.45,-81.41,-2.52,No-run exit,2
2025-03-19,BANKNIFTY,CALL,10:20:00,49615.55,SWING_L,67.65,2.0,48.6,BULL,49658.35,49533.04,49908.98,412.62,412.18,1,15,15,-66.62,-108.47,-1.75,No-run exit,7
2025-03-20,BANKNIFTY,CALL,13:50:00,50068.85,SWING_L,27.95,2.0,63.2,BULL,50103.25,50025.89,50257.97,385.43,378.28,1,15,15,-167.27,-208.97,-3.61,No-run exit,6
2025-03-24,BANKNIFTY,CALL,10:30:00,51495.05,SWING_L,70.6,2.0,23.4,BULL,51521.45,51409.02,51746.3,228.83,232.71,1,15,15,-1.84,-42.87,-1.25,No-run exit,2
2025-03-25,BANKNIFTY,CALL,12:40:00,51646.65,OR_L,31.8,2.0,56.5,BULL,51661.65,51599.37,51786.22,162.25,103.22,1,15,15,-945.5,-985.96,-40.51,SL hit (theta),1
2025-03-26,BANKNIFTY,PUT,09:35:00,51707.15,SWING_H,56.0,2.0,12.9,NEUTRAL,51634.95,51778.68,51347.49,429.04,315.65,1,15,15,-1760.88,-1802.3,-28.01,SL hit,7
2025-03-27,BANKNIFTY,PUT,11:20:00,51623.1,SWING_H,51.05,2.0,42.1,BEAR,51595.95,51689.65,51408.55,396.91,371.74,1,15,15,-437.48,-479.14,-8.05,No-run exit,6
2025-03-28,BANKNIFTY,CALL,09:50:00,51564.25,OR_L,109.4,2.0,7.9,NEUTRAL,51666.0,51439.41,52119.17,362.82,351.46,1,15,15,-230.38,-271.95,-5.0,No-run exit,5
2025-04-01,BANKNIFTY,PUT,10:05:00,51537.05,OR_H,109.3,2.0,12.9,NEUTRAL,51447.75,51661.84,51019.56,161.57,372.04,1,15,15,3096.99,3055.33,126.07,Target hit,1
2025-04-02,BANKNIFTY,PUT,09:45:00,51145.05,OR_H,83.95,2.0,41.1,BEAR,51026.3,51244.37,50590.16,423.98,274.87,1,15,15,-2296.7,-2337.93,-36.76,SL hit (theta),7
2025-04-03,BANKNIFTY,CALL,13:35:00,51500.0,ROUND,32.7,2.0,6.6,BULL,51598.4,51451.86,51891.48,396.93,384.94,1,15,15,-239.84,-281.56,-4.73,No-run exit,6
2025-04-04,BANKNIFTY,PUT,09:45:00,51801.7,OR_H,91.9,2.0,11.5,BULL,51708.85,51909.17,51308.21,363.12,383.83,1,15,15,250.62,208.9,3.84,No-run exit,5
2025-04-07,BANKNIFTY,CALL,09:45:00,49904.4,SWING_L,43.8,2.0,24.8,NEUTRAL,49946.8,49845.64,50149.12,221.83,165.42,1,15,15,-906.14,-946.87,-28.46,SL hit,2
2025-04-08,BANKNIFTY,PUT,09:35:00,50754.3,OR_H,39.4,2.0,40.8,NEUTRAL,50562.75,50808.94,50070.37,158.79,403.9,1,15,15,3616.65,3574.84,150.09,Target hit,1
2025-04-09,BANKNIFTY,CALL,10:05:00,50282.0,OR_L,41.65,2.0,13.2,BULL,50360.75,50225.28,50631.69,418.45,321.2,1,15,15,-1518.73,-1560.17,-24.86,SL hit,7
2025-04-15,BANKNIFTY,CALL,11:40:00,52321.2,SWING_L,32.4,2.0,32.2,BULL,52369.8,52273.11,52563.17,164.47,153.71,1,15,15,-221.41,-262.09,-10.62,No-run exit,1
2025-04-16,BANKNIFTY,CALL,09:35:00,52730.0,SWING_L,71.05,2.0,62.0,BULL,52754.3,52643.15,52976.6,438.34,455.26,1,15,15,193.85,151.81,2.31,No-run exit,7
2025-04-17,BANKNIFTY,CALL,09:45:00,53345.5,SWING_L,109.45,2.0,54.5,BULL,53487.2,53220.08,54021.44,411.46,381.32,1,15,15,-512.05,-553.76,-8.97,No-run exit,6
2025-04-23,BANKNIFTY,CALL,12:45:00,55243.55,PDL,58.1,1.67,12.3,NEUTRAL,55278.7,55168.89,55461.65,459.32,458.15,1,15,15,-77.61,-119.66,-1.74,No-run exit,7
2025-04-28,BANKNIFTY,PUT,11:55:00,55350.55,PDH,40.35,3.51,26.0,BEAR,55339.05,55407.52,55099.05,245.78,199.56,1,15,15,-753.25,-794.14,-21.54,SL hit,2
2025-04-30,BANKNIFTY,PUT,10:00:00,55386.35,OR_H,56.7,2.0,23.3,NEUTRAL,55259.6,55459.68,54859.43,459.16,491.14,1,15,15,419.76,377.55,5.48,No-run exit,7
2025-05-02,BANKNIFTY,PUT,09:35:00,55612.1,OR_H,79.85,2.0,13.0,BEAR,55576.2,55708.66,55311.28,390.28,393.26,1,15,15,-15.28,-57.04,-0.97,No-run exit,5
2025-05-07,BANKNIFTY,PUT,09:50:00,54500.0,ROUND,86.95,2.0,38.0,BEAR,54400.4,54603.33,53994.55,452.02,465.96,1,15,15,149.14,107.05,1.58,No-run exit,7
