date,index,setup,direction,bias,gap_pct,signal_time,entry_time,entry_spot,entry_premium,sl_spot,tp_spot,lots,lot_size,quantity,partial1_lots,partial1_px,partial2_lots,partial2_px,exit_premium,gross_pnl,net_pnl,pnl_pct,exit_reason,dte
2024-09-06,NIFTY,ORB,PUT,NEUTRAL,-0.203,11:05:00,11:10:00,24876.75,86.12,25081.08,24855.62,1,50,50,0,0.0,0,0.0,71.79,-816.71,-857.78,-19.69,Hard SL,6
2024-09-09,NIFTY,ORB,CALL,NEUTRAL,-0.181,10:40:00,10:45:00,24888.65,60.92,24818.99,24988.28,3,50,150,0,0.0,0,0.0,50.49,-1864.12,-1906.35,-20.52,Hard SL,3
2024-09-13,NIFTY,VWAP,PUT,BULLISH,0.456,13:15:00,13:20:00,25357.2,87.78,25386.2,0.0,3,50,150,0,0.0,0,0.0,80.63,-1372.35,-1415.94,-10.63,NO_MOVE_TREND_LOST,6
2024-09-19,NIFTY,ORB,PUT,BULLISH,0.567,11:25:00,11:30:00,25439.45,95.12,25518.93,25295.55,2,50,100,0,0.0,0,0.0,91.43,-568.57,-611.28,-6.36,NO_MOVE_EXTENDED,7
2024-09-20,NIFTY,ORB,CALL,BULLISH,0.318,10:35:00,10:40:00,25660.55,88.83,25511.47,25729.72,2,50,100,0,0.0,0,0.0,96.96,612.54,569.66,6.34,NO_MOVE_EXTENDED,6
2024-10-01,NIFTY,ORB,PUT,NEUTRAL,-0.133,10:30:00,10:35:00,25760.85,51.48,25823.92,25608.72,3,50,150,0,0.0,0,0.0,39.57,-2086.98,-2128.72,-27.04,Hard SL,2
2024-10-04,NIFTY,ORB,CALL,BEARISH,-0.333,11:55:00,12:00:00,25420.85,88.0,25229.9,25577.93,1,50,50,0,0.0,0,0.0,57.61,-1619.65,-1660.5,-37.31,Hard SL,6
2024-10-07,NIFTY,ORB,PUT,NEUTRAL,0.14,10:35:00,10:40:00,24972.15,61.13,25077.83,24910.25,3,50,150,0,0.0,0,0.0,75.96,1924.45,1881.07,20.18,TP hit,3
2024-10-07,NIFTY,ORB,PUT,NEUTRAL,0.14,11:05:00,11:10:00,24862.65,60.86,25077.83,24910.25,1,50,50,0,0.0,0,0.0,55.31,-377.73,-418.54,-13.53,TP hit,3
2024-10-18,NIFTY,ORB,CALL,BEARISH,-0.344,10:30:00,10:35:00,24742.05,85.65,24656.76,24885.9,2,50,100,0,0.0,0,0.0,90.76,310.61,267.91,3.09,Hard close (15:15),6
2024-10-22,NIFTY,ORB,PUT,NEUTRAL,0.239,11:55:00,12:00:00,24683.05,49.33,24784.96,24607.3,3,50,150,1,64.97601456697831,0,0.0,66.4,2188.95,2146.03,28.43,TP hit,2
2024-10-23,NIFTY,ORB,CALL,BEARISH,-0.423,11:00:00,11:05:00,24587.85,34.75,24478.41,24736.35,1,50,50,0,0.0,0,0.0,28.2,-427.65,-468.06,-26.19,Hard SL,1
2024-10-25,NIFTY,ORB,PUT,NEUTRAL,0.014,10:50:00,10:55:00,24124.9,83.52,24350.76,24120.63,1,50,50,0,0.0,0,0.0,67.13,-919.61,-960.6,-22.73,Hard SL,6
2024-10-28,NIFTY,ORB,CALL,NEUTRAL,0.162,11:10:00,11:15:00,24399.6,59.72,24248.73,24513.78,2,50,100,0,0.0,0,0.0,69.1,738.18,696.14,11.46,Trail SL,3
2024-10-29,NIFTY,VWAP,CALL,NEUTRAL,-0.159,11:35:00,11:40:00,24226.35,48.42,24180.15,0.0,3,50,150,1,64.9037676846135,0,0.0,58.01,1483.4,1440.73,19.44,Trail SL,2
2024-10-30,NIFTY,ORB,CALL,BEARISH,-0.338,11:20:00,11:25:00,24466.2,34.58,24406.79,24584.73,3,50,150,0,0.0,0,0.0,29.37,-1081.21,-1122.48,-21.03,Hard SL,1
2024-10-30,NIFTY,VWAP,PUT,BEARISH,-0.338,13:15:00,13:20:00,24395.9,34.48,24430.75,0.0,3,50,150,1,50.618450092983686,0,0.0,43.03,1362.16,1320.16,24.81,Trail SL,1
2024-11-04,NIFTY,ORB,PUT,NEUTRAL,0.063,11:00:00,11:05:00,23854.45,58.39,24134.33,23665.25,1,50,50,0,0.0,0,0.0,37.24,-1157.71,-1198.25,-40.35,Hard SL,3
2024-11-05,NIFTY,ORB,PUT,BEARISH,-0.31,11:40:00,11:45:00,23866.5,47.7,23943.93,23732.25,3,50,150,0,0.0,0,0.0,38.15,-1731.98,-1773.65,-24.28,Hard SL,2
