date,index,direction,sweep_time,level_price,level_kind,wick_pts,rr,adx,trend,entry_spot,sl_spot,tp_spot,entry_premium,exit_premium,lots,lot_size,quantity,gross_pnl,net_pnl,pnl_pct,exit_reason,dte
2024-02-14,NIFTY,CALL,12:30:00,21655.25,SWING_L,31.7,2.0,13.8,BULL,21667.85,21617.06,21769.42,68.05,72.12,1,50,50,3.43,-37.62,-1.11,No-run exit,1
2024-02-15,NIFTY,PUT,09:55:00,21870.85,PDH,15.55,2.0,19.1,BULL,21808.35,21892.97,21639.12,181.21,102.03,1,50,50,-4158.82,-4200.33,-46.36,SL hit (theta),7
2024-02-19,NIFTY,PUT,09:45:00,22068.65,PDH,15.4,2.96,20.0,BULL,22059.95,22090.68,21968.95,120.0,112.85,2,50,100,-1115.5,-1158.82,-9.66,No-run exit,3
2024-02-21,NIFTY,PUT,10:15:00,22215.6,PDH,31.95,2.0,17.8,BULL,22208.9,22254.22,22118.25,69.75,70.57,1,50,50,-159.06,-200.08,-5.74,No-run exit,1
2024-02-22,NIFTY,CALL,09:45:00,22045.85,SWING_L,60.9,2.0,26.0,BEAR,22055.55,21978.35,22209.94,183.26,127.19,1,50,50,-3003.67,-3045.55,-33.24,SL hit,7
2024-02-23,NIFTY,PUT,10:25:00,22252.5,PDH,28.25,2.0,31.6,NEUTRAL,22227.8,22287.43,22108.53,170.99,165.4,1,50,50,-479.31,-521.76,-6.1,No-run exit,6
2024-02-28,NIFTY,CALL,10:05:00,22188.45,OR_L,20.25,2.0,13.0,BULL,22224.15,22161.55,22349.35,69.8,43.75,1,50,50,-1502.47,-1543.09,-44.21,SL hit (theta),1
2024-03-05,NIFTY,CALL,11:45:00,22319.55,OR_L,15.2,2.0,18.9,NEUTRAL,22326.15,22297.66,22383.13,99.16,102.4,2,50,100,-76.01,-119.02,-1.2,No-run exit,2
2024-03-06,NIFTY,PUT,09:50:00,22353.8,OR_H,15.65,2.0,11.9,NEUTRAL,22310.1,22376.16,22177.98,70.07,68.43,1,50,50,-281.91,-322.91,-9.22,No-run exit,1
2024-03-11,NIFTY,CALL,10:55:00,22430.0,PDL,18.7,1.9,23.5,NEUTRAL,22446.3,22404.58,22525.65,122.1,113.9,1,50,50,-609.9,-651.58,-10.67,No-run exit,3
2024-03-12,NIFTY,PUT,10:45:00,22369.85,OR_H,52.75,2.0,28.3,BEAR,22298.75,22429.33,22037.6,99.04,63.45,1,50,50,-1979.4,-2020.32,-40.8,SL hit (theta),2
2024-03-13,NIFTY,PUT,13:35:00,22100.0,ROUND,18.9,2.0,28.3,BEAR,22073.1,22125.54,21968.23,69.32,122.94,1,50,50,2481.01,2439.2,70.38,Target hit,1
2024-03-14,NIFTY,PUT,10:15:00,22015.1,OR_H,13.45,1.67,50.3,BEAR,22004.2,22035.16,21952.5,182.84,158.96,2,50,100,-2788.28,-2832.99,-15.49,SL hit,7
2024-03-15,NIFTY,PUT,11:00:00,21981.8,SWING_H,17.15,2.0,10.8,NEUTRAL,21963.9,22005.55,21880.6,168.96,166.79,1,50,50,-308.58,-351.05,-4.16,No-run exit,6
2024-03-18,NIFTY,CALL,09:50:00,21953.7,OR_L,17.75,2.0,12.9,BEAR,21985.5,21929.37,22097.76,119.59,119.33,1,50,50,-213.12,-254.88,-4.26,No-run exit,3
2024-03-19,NIFTY,PUT,11:40:00,21832.95,SWING_H,22.2,2.0,12.0,NEUTRAL,21810.85,21861.71,21709.14,96.87,63.78,1,50,50,-1854.29,-1895.21,-39.13,SL hit,2
2024-03-21,NIFTY,PUT,11:40:00,22052.85,SWING_H,11.65,2.0,6.4,NEUTRAL,22029.05,22071.12,21944.91,183.04,189.23,1,50,50,109.69,66.88,0.73,No-run exit,7
2024-03-22,NIFTY,CALL,09:35:00,21905.65,SWING_L,22.35,2.0,8.7,BULL,21958.15,21876.74,22120.98,168.92,208.24,1,50,50,1766.19,1723.1,20.4,Target hit,6
2024-03-28,NIFTY,CALL,09:45:00,22256.0,SWING_L,35.35,2.0,27.2,NEUTRAL,22298.45,22213.98,22467.38,185.28,187.33,1,50,50,-97.44,-140.22,-1.51,No-run exit,7
2024-04-01,NIFTY,PUT,09:40:00,22516.0,PDH,13.95,2.0,44.6,NEUTRAL,22482.6,22536.71,22374.38,122.3,113.61,1,50,50,-634.53,-676.21,-11.06,No-run exit,3
2024-04-02,NIFTY,PUT,09:50:00,22468.1,OR_H,15.6,2.0,6.9,BULL,22445.7,22490.45,22356.21,99.69,104.44,1,50,50,37.48,-4.05,-0.08,No-run exit,2
2024-04-03,NIFTY,CALL,09:55:00,22388.15,PDL,16.55,2.0,24.1,BULL,22392.9,22364.89,22448.92,70.33,102.73,2,50,100,2839.78,2796.76,39.77,Target hit,1
2024-04-04,NIFTY,PUT,09:55:00,22426.05,SWING_H,59.2,2.0,14.4,NEUTRAL,22401.3,22492.0,22219.91,186.13,172.57,1,50,50,-878.12,-920.68,-9.89,No-run exit,7
2024-04-05,NIFTY,PUT,11:25:00,22496.35,OR_H,15.55,1.9,12.9,BULL,22487.25,22518.65,22427.6,172.99,162.13,2,50,100,-1486.2,-1531.01,-8.85,No-run exit,6
2024-04-08,NIFTY,PUT,10:20:00,22619.0,WEEK_H,11.9,2.0,8.3,BULL,22614.7,22637.69,22568.72,123.01,117.36,2,50,100,-965.27,-1008.73,-8.2,No-run exit,3
2024-04-10,NIFTY,PUT,13:50:00,22726.6,OR_H,18.7,2.0,20.7,NEUTRAL,22720.15,22752.12,22656.2,71.35,56.15,2,50,100,-1919.99,-1961.62,-27.49,Hard close,1
2024-04-15,NIFTY,PUT,10:25:00,22373.55,OR_H,11.85,2.74,50.1,BEAR,22368.15,22392.12,22302.5,121.67,101.01,2,50,100,-2465.69,-2508.66,-20.62,SL hit,3
2024-04-18,NIFTY,PUT,09:40:00,22213.75,PDH,27.8,2.0,49.5,NEUTRAL,22200.45,22248.22,22104.91,184.47,191.24,1,50,50,138.57,95.73,1.04,No-run exit,7
2024-04-19,NIFTY,PUT,10:25:00,21866.45,OR_H,23.4,2.0,38.2,BEAR,21856.8,21896.42,21777.57,168.14,163.54,1,50,50,-430.13,-472.55,-5.62,No-run exit,6
2024-04-22,NIFTY,CALL,10:15:00,22239.6,OR_L,19.9,2.0,17.2,NEUTRAL,22259.2,22213.03,22351.53,121.08,115.55,1,50,50,-476.69,-518.39,-8.56,No-run exit,3
2024-04-25,NIFTY,CALL,09:40:00,22384.0,PDL,22.35,2.28,20.9,NEUTRAL,22391.95,22354.94,22476.45,186.06,200.12,1,50,50,503.2,460.23,4.95,No-run exit,7
2024-05-02,NIFTY,PUT,09:50:00,22662.2,OR_H,12.15,2.0,28.7,NEUTRAL,22639.0,22681.15,22554.7,188.11,174.4,1,50,50,-885.49,-928.07,-9.87,No-run exit,7
2024-05-03,NIFTY,CALL,10:45:00,22612.25,SWING_L,19.15,2.0,8.6,NEUTRAL,22619.65,22586.32,22686.31,174.01,145.91,1,50,50,-1604.76,-1646.92,-18.93,SL hit,6
