date,index,direction,source,or_high,or_low,or_range_pct,watch_time,entry_time,entry_mode,adx,trend,entry_spot,sl_spot,tp_spot,entry_premium,exit_premium,lots,lot_size,quantity,gross_pnl,net_pnl,pnl_pct,exit_reason,dte
2025-02-12,NIFTY,PUT,EMA_BOUNCE,23097.95,22978.4,0.0052027121122445105,13:45:00,14:05:00,EMA_BOUNCE,56.61,BEAR,22965.15,23101.45,22692.55,72.12,67.77,1,50,50,-417.69,-458.68,-12.72,No-run exit,1
2025-02-14,NIFTY,PUT,EMA_BOUNCE,23133.7,23026.75,0.0046445981304352865,10:30:00,10:45:00,EMA_BOUNCE,26.29,BEAR,22898.65,23045.55,22604.85,176.15,189.54,1,50,50,469.34,426.53,4.84,No-run exit,6
2025-02-17,NIFTY,PUT,EMA_BOUNCE,22874.75,22725.45,0.006569726892096714,11:00:00,11:35:00,EMA_BOUNCE,31.73,BEAR,22826.9,22894.95,22690.8,124.17,122.67,1,50,50,-274.88,-316.69,-5.1,No-run exit,3
2025-03-06,NIFTY,CALL,EMA_BOUNCE,22491.3,22349.2,0.006358169419934429,11:30:00,11:45:00,EMA_BOUNCE,34.26,BULL,22389.75,22319.95,22529.35,186.04,193.94,1,50,50,194.79,151.91,1.63,No-run exit,7
2025-03-07,NIFTY,CALL,EMA_BOUNCE,22572.85,22464.75,0.004811983218152819,10:00:00,10:25:00,EMA_BOUNCE,49.13,BULL,22596.25,22539.95,22708.85,173.83,166.23,1,50,50,-580.17,-622.63,-7.16,No-run exit,6
2025-03-25,NIFTY,CALL,EMA_BOUNCE,23766.2,23664.9,0.004280601227978959,11:45:00,12:05:00,EMA_BOUNCE,42.96,BULL,23726.95,23627.55,23925.75,105.38,65.42,1,50,50,-2197.87,-2238.82,-42.49,SL hit (theta),2
2025-04-01,NIFTY,PUT,EMA_BOUNCE,23481.45,23339.1,0.0060992069102922646,10:00:00,10:20:00,EMA_BOUNCE,24.16,BEAR,23374.85,23523.4,23077.75,103.82,173.3,1,50,50,3274.19,3231.62,62.25,Hard close,2
2025-04-02,NIFTY,PUT,EMA_BOUNCE,23251.0,23158.45,0.003996381450399282,12:45:00,13:20:00,EMA_BOUNCE,48.74,BEAR,23288.8,23335.38,23242.22,73.14,71.59,1,50,50,-277.29,-318.33,-8.7,No-run exit,1
2025-04-16,NIFTY,CALL,EMA_BOUNCE,23353.65,23277.0,0.003292950122438521,13:45:00,14:00:00,EMA_BOUNCE,57.34,BULL,23402.75,23293.9,23620.45,73.5,72.21,1,50,50,-264.67,-305.73,-8.32,No-run exit,1
2025-04-17,NIFTY,CALL,EMA_BOUNCE,23406.6,23298.55,0.004637627663524093,10:15:00,10:30:00,EMA_BOUNCE,22.33,BULL,23408.25,23342.3,23540.15,194.5,196.75,1,50,50,-87.61,-130.53,-1.34,No-run exit,7
