date,index,direction,or_high,or_low,or_range_pct,breakout_time,breakout_price,entry_premium,exit_premium,lots,lot_size,quantity,gross_pnl,net_pnl,pnl_pct,exit_reason,dte
2024-10-04,NIFTY,CALL,25287.9,25118.15,0.0067580614018150215,10:45:00,25339.45,194.93,109.27,1,50,50,-4483.25,-4524.86,-46.43,SL hit,6
2024-10-08,NIFTY,CALL,24865.1,24765.8,0.004009561572814093,10:30:00,24922.25,110.69,108.9,1,50,50,-289.38,-330.98,-5.98,Hard close,2
2024-10-17,NIFTY,PUT,25029.5,24923.1,0.004269131849569334,10:00:00,24831.95,206.33,203.87,1,50,50,-323.16,-366.19,-3.55,Hard close,7
2024-10-18,NIFTY,CALL,24694.95,24567.65,0.005181610776773492,10:30:00,24729.5,190.24,220.23,1,50,50,1299.5,1256.22,13.21,Hard close,6
2024-10-21,NIFTY,PUT,24978.3,24890.2,0.003539545684646911,10:00:00,24804.05,134.92,84.92,1,50,50,-2700.04,-2741.28,-40.64,SL hit,3
2024-10-22,NIFTY,PUT,24854.05,24755.35,0.003987016947851706,10:15:00,24638.55,109.43,66.88,1,50,50,-2327.67,-2368.65,-43.29,SL hit,2
2024-10-23,NIFTY,CALL,24521.4,24378.1,0.005878226769108459,11:00:00,24557.75,77.12,60.28,1,50,50,-1042.22,-1083.1,-28.09,SL hit,1
2024-10-28,NIFTY,CALL,24292.9,24212.5,0.0033205988642230856,10:15:00,24376.95,132.6,103.64,1,50,50,-1647.98,-1689.51,-25.48,SL hit,3
2024-10-29,NIFTY,PUT,24378.65,24251.0,0.005263700465960227,10:00:00,24225.15,107.59,62.68,1,50,50,-2445.36,-2486.27,-46.22,SL hit,2
2024-10-31,NIFTY,PUT,24372.45,24271.2,0.0041716107979827945,11:30:00,24246.25,201.46,196.36,1,50,50,-455.04,-497.95,-4.94,Hard close,7
2024-11-04,NIFTY,PUT,24316.75,24074.05,0.010081394696779343,10:00:00,23972.3,130.4,96.29,1,50,50,-1905.6,-1947.02,-29.86,SL hit,3
2024-11-05,NIFTY,PUT,24026.25,23908.65,0.004918721885175388,11:30:00,23867.35,106.0,80.62,1,50,50,-1469.15,-1510.33,-28.5,SL hit,2
2024-11-06,NIFTY,CALL,24344.8,24204.05,0.0058151425071424,10:00:00,24379.25,76.56,48.42,1,50,50,-1607.19,-1647.88,-43.05,SL hit,1
2024-11-07,NIFTY,PUT,24503.35,24342.85,0.006593311793812146,10:00:00,24221.75,201.26,168.91,1,50,50,-1817.57,-1860.08,-18.48,Hard close,7
2024-11-11,NIFTY,CALL,24106.25,24004.6,0.004234605034035204,10:15:00,24223.85,131.77,99.56,1,50,50,-1810.32,-1851.78,-28.11,SL hit,3
2024-11-13,NIFTY,PUT,23873.6,23780.3,0.003923415600307787,10:00:00,23694.55,74.41,56.29,1,50,50,-1105.9,-1146.71,-30.82,SL hit,1
2024-11-14,NIFTY,PUT,23645.3,23541.35,0.0044156346173860345,11:00:00,23490.9,195.19,150.45,1,50,50,-2436.99,-2479.22,-25.4,SL hit,7
2024-11-18,NIFTY,PUT,23606.8,23463.55,0.006105214257859531,10:15:00,23406.1,127.32,94.74,1,50,50,-1828.84,-1870.23,-29.38,SL hit,3
2024-11-19,NIFTY,CALL,23665.65,23517.1,0.0063166802029163,10:00:00,23691.85,105.22,83.46,1,50,50,-1287.87,-1329.09,-25.26,SL hit,2
2024-11-21,NIFTY,PUT,23507.3,23338.75,0.007221894917251321,10:00:00,23308.75,193.67,153.35,1,50,50,-2215.93,-2258.2,-23.32,SL hit,7
2024-11-22,NIFTY,CALL,23524.7,23359.0,0.0070936255832869865,10:00:00,23575.5,181.36,279.92,1,50,50,4728.0,4683.83,51.65,Target hit,6
2024-11-25,NIFTY,PUT,24323.25,24212.25,0.004584456215345538,12:45:00,24158.0,131.41,98.6,1,50,50,-1840.25,-1881.7,-28.64,SL hit,3
2024-11-27,NIFTY,CALL,24268.85,24153.75,0.004765305594369344,12:45:00,24305.85,76.33,60.62,1,50,50,-985.49,-1026.37,-26.89,SL hit,1
2024-11-29,NIFTY,CALL,24030.75,23927.15,0.004329809442411593,10:30:00,24082.35,185.26,181.22,1,50,50,-402.01,-444.7,-4.8,Hard close,6
2024-12-02,NIFTY,CALL,24154.65,24008.65,0.0060811415885524585,12:15:00,24186.5,131.56,153.28,1,50,50,885.83,843.56,12.82,Hard close,3
