signal_id,date,time,index,direction,direction_int,conviction_score,lot_size,close,vwap,vwap_distance,rsi,adx,ema_fast,ema_slow,pcr,iv_rank,pdh,pdl,weekly_high,weekly_low,dte,capital_before,capital_used,risk_amount,entry_premium,stop_loss,target,exit_premium,pnl,pnl_pct,exit_reason,trade_taken,outcome
717945DE,2025-05-14,14:15:00,SENSEX,PUT,0,67,1,81155.05,81374.07,-219.02,34.54,38.11,81331.91,81449.53,1.0,50.0,82572.81,81043.69,82572.81,78968.34,2,89189.47,3603.6,720.72,360.36,288.29,540.54,288.29,-801.56,-22.24,Stop-loss,1,0
F5D148E0,2025-05-15,13:45:00,SENSEX,CALL,1,65,1,82320.79,81310.43,1010.36,79.03,22.2,81420.02,81249.93,1.0,50.0,81691.87,80910.03,82718.14,78968.34,1,88387.91,2595.1,519.02,259.51,207.61,389.26,282.35,147.52,5.68,Profit lock (14:00),1,1
4BE5502A,2025-05-20,13:45:00,SENSEX,PUT,0,65,1,81397.19,81792.4,-395.21,13.04,21.75,81741.19,81887.59,1.0,50.0,82424.1,81964.57,82718.14,80762.16,3,88535.43,4429.7,885.94,442.97,354.38,664.46,458.64,75.37,1.7,Profit lock (14:00),1,1
1337DDEB,2025-05-22,13:45:00,SENSEX,PUT,0,65,1,80649.88,80816.31,-166.43,37.25,28.38,80780.54,80829.97,1.0,50.0,82021.64,81237.06,82514.81,80489.92,1,88610.8,2533.1,506.62,253.31,202.65,379.97,202.65,-587.2,-23.18,Stop-loss,1,0
07A1C07E,2025-06-06,13:30:00,SENSEX,CALL,1,69,1,82112.92,81893.8,219.12,71.06,20.88,81901.74,81639.82,1.0,50.0,81911.13,80983.73,82299.89,80575.09,7,88023.6,,,682.51,546.01,1023.76,,,,premium_out_of_range,0,-1
2C8FF86B,2025-06-06,13:45:00,SENSEX,CALL,1,69,1,82140.45,81907.11,233.34,72.13,24.42,81924.47,81659.45,1.0,50.0,81911.13,80983.73,82299.89,80575.09,7,88023.6,,,682.74,546.19,1024.11,,,,premium_out_of_range,0,-1
B95BC639,2025-06-06,14:00:00,SENSEX,CALL,1,68,1,82167.65,81919.91,247.74,73.18,27.54,81947.63,81679.38,1.0,50.0,81911.13,80983.73,82299.89,80575.09,7,88023.6,,,682.72,546.18,1024.08,,,,premium_out_of_range,0,-1
C4429FE6,2025-06-06,14:15:00,SENSEX,CALL,1,68,1,82165.9,81931.71,234.19,72.99,30.3,81968.42,81698.46,1.0,50.0,81911.13,80983.73,82299.89,80575.09,7,88023.6,,,683.33,546.66,1025.0,,,,premium_out_of_range,0,-1
14526626,2025-06-06,14:30:00,SENSEX,CALL,1,71,1,82245.3,81945.59,299.71,76.05,33.31,81994.79,81719.9,1.0,50.0,81911.13,80983.73,82299.89,80575.09,7,88023.6,,,682.66,546.13,1023.99,,,,premium_out_of_range,0,-1
1D43E137,2025-06-12,14:00:00,SENSEX,PUT,0,65,1,81700.84,82207.29,-506.45,15.18,20.84,82178.71,82363.64,1.0,50.0,82783.51,82308.91,82783.51,81140.11,1,88023.6,2561.9,512.38,256.19,204.95,384.28,204.95,-593.01,-23.15,Stop-loss,1,0
8BBC8C48,2025-06-16,13:45:00,SENSEX,CALL,1,65,1,81816.85,81575.28,241.57,67.69,32.05,81609.87,81472.41,1.0,50.0,81238.68,80354.59,82783.51,80354.59,4,87430.59,,,513.51,410.81,770.26,,,,premium_out_of_range,0,-1
4EBE30AF,2025-06-16,14:00:00,SENSEX,CALL,1,65,1,81752.93,81586.04,166.89,62.19,35.8,81623.5,81483.41,1.0,50.0,81238.68,80354.59,82783.51,80354.59,4,87430.59,,,514.14,411.31,771.21,,,,premium_out_of_range,0,-1
44E31503,2025-06-16,14:15:00,SENSEX,CALL,1,75,2,81855.94,81597.92,258.02,66.86,39.26,81645.63,81498.02,1.0,50.0,81238.68,80354.59,82783.51,80354.59,4,87430.59,,,513.73,410.98,770.6,,,,premium_out_of_range,0,-1
68F493A2,2025-06-16,14:30:00,SENSEX,CALL,1,65,1,81788.47,81608.0,180.47,61.5,42.34,81659.24,81509.41,1.0,50.0,81238.68,80354.59,82783.51,80354.59,4,87430.59,,,513.55,410.84,770.32,,,,premium_out_of_range,0,-1
C1DD0192,2025-06-24,13:45:00,SENSEX,PUT,0,66,1,82061.04,82701.37,-640.33,29.58,20.56,82650.0,82679.54,1.0,50.0,82169.67,81476.76,83018.16,81191.04,3,87430.59,4470.4,894.08,447.04,357.63,670.56,507.95,527.54,11.8,Profit lock (14:00),1,1
AFE28B9B,2025-06-26,14:15:00,SENSEX,CALL,1,68,1,83673.21,83218.77,454.44,76.17,20.71,83273.15,83167.7,1.0,50.0,82815.91,82339.57,83812.09,81323.2,1,87958.13,2626.6,525.32,262.66,210.13,393.99,288.2,174.5,6.64,Hard close (15:00),1,1
C84EA87A,2025-07-23,14:00:00,SENSEX,CALL,1,65,1,82654.76,82461.83,192.93,82.06,24.75,82491.84,82426.73,1.0,50.0,82538.17,82110.63,82786.43,81518.66,2,88132.63,3672.6,734.52,367.26,293.81,550.89,359.06,-163.04,-4.44,No-move (flat 30 min),1,0
F508C016,2025-07-28,14:15:00,SENSEX,PUT,0,72,2,80885.37,81212.85,-327.48,27.85,22.7,81128.57,81202.86,1.0,50.0,82069.51,81397.69,82786.43,80776.44,4,87969.59,,,507.98,406.38,761.97,,,,premium_out_of_range,0,-1
81CBB3B5,2025-07-28,14:30:00,SENSEX,PUT,0,72,2,80878.88,81197.8,-318.92,27.56,25.24,81104.79,81190.15,1.0,50.0,82069.51,81397.69,82786.43,80776.44,4,87969.59,,,508.72,406.98,763.08,,,,premium_out_of_range,0,-1
70E1FEA7,2025-07-31,13:30:00,SENSEX,CALL,1,65,1,81704.06,81200.41,503.65,87.54,20.71,81278.19,81127.11,1.0,50.0,81618.96,81187.06,82069.51,80575.45,1,87969.59,2565.6,513.12,256.56,205.25,384.84,205.25,-593.71,-23.14,Stop-loss,1,0
16022A54,2025-08-20,13:15:00,SENSEX,CALL,1,66,1,81876.63,81756.91,119.72,76.81,24.02,81745.42,81643.75,1.0,50.0,81755.88,81315.44,81985.62,80319.0,2,87375.88,3633.8,726.76,363.38,290.7,545.07,404.59,330.88,9.11,Profit lock (14:00),1,1
2344636E,2025-09-12,13:30:00,SENSEX,CALL,1,65,1,81927.97,81851.96,76.01,67.64,22.7,81856.91,81792.17,1.0,50.0,81642.22,81216.91,81992.85,80733.07,7,87706.76,,,680.54,544.43,1020.81,,,,premium_out_of_range,0,-1
7E4B5129,2025-09-12,14:00:00,SENSEX,CALL,1,69,1,81942.89,81859.08,83.81,66.53,24.13,81868.87,81802.17,1.0,50.0,81642.22,81216.91,81992.85,80733.07,7,87706.76,,,680.67,544.54,1021.0,,,,premium_out_of_range,0,-1
94EB05C1,2025-09-26,14:30:00,SENSEX,PUT,0,68,1,80384.34,80737.85,-353.51,17.94,22.01,80682.3,80760.27,1.0,50.0,81840.73,81092.89,82583.16,80332.41,7,87706.76,,,668.23,534.58,1002.35,,,,premium_out_of_range,0,-1
8B2B1E0D,2025-10-01,14:30:00,SENSEX,CALL,1,70,1,80964.9,80683.67,281.23,74.39,20.59,80735.52,80583.57,1.0,50.0,80677.82,80201.15,81840.73,80159.9,2,87706.76,3598.6,719.72,359.86,287.89,539.79,291.92,-760.25,-21.13,Hard close (15:00),1,0
E353E7D9,2025-10-06,13:45:00,SENSEX,CALL,1,68,1,81798.28,81550.44,247.84,85.85,23.27,81558.9,81406.8,1.0,50.0,81251.99,80649.57,81846.42,80159.9,4,86946.51,,,513.66,410.93,770.49,,,,premium_out_of_range,0,-1
040A73D1,2025-10-06,14:00:00,SENSEX,CALL,1,65,1,81779.03,81561.3,217.73,81.97,23.41,81579.86,81421.4,1.0,50.0,81251.99,80649.57,81846.42,80159.9,4,86946.51,,,513.53,410.82,770.29,,,,premium_out_of_range,0,-1
6920311B,2025-10-06,14:15:00,SENSEX,CALL,1,65,1,81761.67,81572.07,189.6,78.52,23.53,81597.18,81434.74,1.0,50.0,81251.99,80649.57,81846.42,80159.9,4,86946.51,,,513.07,410.46,769.61,,,,premium_out_of_range,0,-1
