date,direction,gap_pct,entry_premium,entry_spot,lots,candles_held_5min,partial1_lots,partial1_premium,partial2_lots,partial2_premium,final_premium,final_reason,highest_premium,trailing_sl_at_exit,adx_val,rsi_val,range_ratio,ema9,gross_pnl,theta_cost,slippage_cost,brokerage,stt_cost,net_pnl,net_pnl_pct
2024-02-26,PUT,-0.33,208.29,46559.45,1,1,0,0.0,0,0.0,181.79,HARD_SL,208.29,0.0,27.4,32.9,1.55,46752.0,-397.42,0.83,22.5,40.0,0.82,-460.74,-0.46
2024-03-05,PUT,-0.34,149.99,47280.35,1,3,0,0.0,0,0.0,130.49,HARD_SL,149.99,0.0,23.2,39.7,1.54,47326.9,-292.47,1.8,22.5,40.0,0.59,-355.56,-0.36
2024-03-15,PUT,-0.56,328.4,46550.5,1,13,0,0.0,0,0.0,351.16,TRAIL_SL,414.9,352.66,29.5,27.7,1.6,46715.4,341.46,17.08,22.5,40.0,1.58,277.38,0.28
2024-03-19,PUT,-0.42,147.3,46424.65,1,6,0,0.0,0,0.0,128.12,HARD_SL,172.68,146.78,20.0,34.7,1.72,46519.5,-287.64,3.54,22.5,40.0,0.58,-350.71,-0.35
2024-03-21,CALL,0.66,362.51,46928.75,1,2,0,0.0,0,0.0,357.17,NO_MOVE,372.34,0.0,41.5,72.6,1.54,46778.6,-80.07,2.9,22.5,40.0,1.61,-144.18,-0.14
2024-04-01,CALL,0.52,212.76,47566.65,1,2,0,0.0,0,0.0,208.35,NO_MOVE,212.76,0.0,24.0,58.6,2.0,47539.6,-66.23,1.7,22.5,40.0,0.94,-129.66,-0.13
2024-04-09,CALL,0.5,155.08,48901.2,1,2,0,0.0,0,0.0,146.65,NO_MOVE,155.08,0.0,47.6,74.9,2.1,48819.2,-126.43,1.24,22.5,40.0,0.66,-189.59,-0.19
2024-04-10,CALL,0.35,155.12,48915.25,1,2,0,0.0,0,0.0,147.24,NO_MOVE,155.12,0.0,32.6,63.6,1.66,48873.2,-118.18,1.24,22.5,40.0,0.66,-181.35,-0.18
2024-04-12,PUT,-0.49,343.68,48727.05,1,2,0,0.0,0,0.0,342.57,NO_MOVE,347.67,0.0,38.2,27.0,1.62,48847.5,-16.69,2.75,22.5,40.0,1.54,-80.73,-0.08
2024-04-15,PUT,-0.87,214.68,47998.25,1,2,0,0.0,0,0.0,212.7,NO_MOVE,228.58,0.0,21.4,38.9,1.89,48028.9,-29.71,1.72,22.5,40.0,0.96,-93.16,-0.09
2024-04-16,PUT,-0.67,150.64,47488.35,1,2,0,0.0,0,0.0,150.1,NO_MOVE,151.6,0.0,38.3,41.0,2.57,47517.8,-8.15,1.21,22.5,40.0,0.68,-71.32,-0.07
2024-04-22,CALL,2.15,213.9,47821.8,1,2,0,0.0,0,0.0,202.85,NO_MOVE,213.9,0.0,33.5,65.4,1.46,47755.4,-165.74,1.71,22.5,40.0,0.91,-229.15,-0.23
2024-04-23,CALL,0.62,152.39,48046.85,1,2,0,0.0,0,0.0,157.16,NO_MOVE,164.11,0.0,20.8,60.9,1.5,48010.1,71.52,1.22,22.5,40.0,0.71,8.31,0.01
2024-04-24,CALL,0.39,152.93,48217.6,1,3,0,0.0,0,0.0,144.66,NO_MOVE,152.93,0.0,34.7,69.9,1.6,48153.3,-124.01,1.84,22.5,40.0,0.65,-187.16,-0.19
2024-05-06,CALL,0.61,219.53,49090.7,1,3,0,0.0,0,0.0,219.82,NO_MOVE,222.46,0.0,25.6,60.1,2.01,49034.1,4.25,2.63,22.5,40.0,0.99,-59.23,-0.06
2024-05-08,PUT,-0.31,152.0,47922.7,1,2,0,0.0,0,0.0,142.35,NO_MOVE,157.08,0.0,45.7,30.2,2.46,48079.1,-144.81,1.22,22.5,40.0,0.64,-207.95,-0.21
2024-05-16,CALL,0.49,369.45,47831.45,1,3,0,0.0,0,0.0,346.36,NO_MOVE,369.45,0.0,27.2,60.0,1.48,47799.5,-346.36,4.43,22.5,40.0,1.56,-410.42,-0.41
2024-05-27,CALL,0.32,220.93,49405.3,1,12,0,0.0,0,0.0,290.67,TRAIL_SL,343.73,292.17,38.7,72.8,2.06,49342.3,1046.19,10.6,22.5,40.0,1.31,982.38,0.98
2024-05-29,PUT,-0.56,154.55,48733.7,1,14,0,0.0,0,0.0,220.6,TREND_CHECK_EXIT,222.1,188.79,53.1,24.3,1.63,48856.6,990.81,8.65,22.5,40.0,0.99,927.32,0.93
2024-06-03,CALL,3.92,226.46,50650.35,1,11,0,0.0,0,0.0,303.64,TRAIL_SL,358.98,305.14,49.0,73.1,1.54,50525.2,1157.68,9.96,22.5,40.0,1.37,1093.81,1.09
2024-06-04,PUT,-0.86,155.71,49104.35,1,1,0,0.0,0,0.0,135.53,HARD_SL,155.71,0.0,38.0,22.3,1.41,49785.1,-302.79,0.62,22.5,40.0,0.61,-365.9,-0.37
2024-06-05,CALL,0.59,152.82,48182.45,1,2,0,0.0,0,0.0,132.98,HARD_SL,162.26,0.0,20.5,66.7,2.13,47884.3,-297.57,1.22,22.5,40.0,0.6,-360.67,-0.36
2024-06-12,CALL,0.41,158.77,50076.45,1,12,0,0.0,0,0.0,189.8,TRAIL_SL,225.06,191.3,24.7,72.8,1.43,49881.8,465.5,7.62,22.5,40.0,0.85,402.15,0.4
2024-06-19,CALL,1.25,161.34,50894.25,1,3,0,0.0,0,0.0,236.19,TREND_CHECK_EXIT,237.69,202.04,26.6,82.2,1.66,50466.8,1122.85,1.94,22.5,40.0,1.06,1059.29,1.06
2024-07-03,CALL,1.39,168.64,53219.9,1,1,0,0.0,0,0.0,146.9,HARD_SL,168.64,0.0,49.1,78.4,2.2,53063.0,-326.05,0.67,22.5,40.0,0.66,-389.21,-0.39
2024-07-05,PUT,-0.99,369.33,52378.7,1,2,0,0.0,0,0.0,352.46,NO_MOVE,369.33,0.0,31.8,15.7,2.81,52758.0,-253.01,2.95,22.5,40.0,1.59,-317.1,-0.32
2024-07-25,PUT,-1.3,391.31,50672.3,1,2,0,0.0,0,0.0,378.64,NO_MOVE,410.0,0.0,29.7,32.3,1.61,50888.2,-190.03,3.13,22.5,40.0,1.7,-254.23,-0.25
2024-07-29,CALL,0.38,232.35,51975.95,1,15,0,0.0,0,0.0,328.31,TRAIL_SL,388.01,329.81,40.2,73.3,1.9,51871.5,1439.49,13.94,22.5,40.0,1.48,1375.51,1.38
2024-08-02,PUT,-0.84,361.46,51258.0,1,2,0,0.0,0,0.0,375.35,NO_MOVE,376.85,0.0,31.8,33.7,1.42,51363.6,208.43,2.89,22.5,40.0,1.69,144.24,0.14
2024-08-05,PUT,-1.46,224.01,50098.9,1,4,0,0.0,0,0.0,306.65,TREND_CHECK_EXIT,308.15,261.93,60.0,13.8,2.09,50297.8,1239.6,3.58,22.5,40.0,1.38,1175.72,1.18
2024-08-13,PUT,-0.36,159.2,50215.65,1,1,0,0.0,0,0.0,138.6,HARD_SL,159.2,0.0,39.9,33.8,3.17,50295.8,-309.07,0.64,22.5,40.0,0.62,-372.19,-0.37
2024-08-16,CALL,0.78,355.67,50434.45,1,2,0,0.0,0,0.0,340.84,NO_MOVE,355.67,0.0,36.1,72.6,1.55,50365.8,-222.5,2.85,22.5,40.0,1.53,-286.53,-0.29
2024-08-19,CALL,0.34,226.36,50628.3,1,2,0,0.0,0,0.0,197.7,HARD_SL,226.36,0.0,28.9,62.6,1.76,50569.1,-429.95,1.81,22.5,40.0,0.89,-493.34,-0.49
2024-08-22,CALL,0.31,393.49,50955.4,1,2,0,0.0,0,0.0,344.77,HARD_SL,393.49,0.0,41.0,79.9,1.47,50824.5,-730.77,3.15,22.5,40.0,1.55,-794.83,-0.79
2024-09-06,PUT,-0.48,361.43,51253.85,1,5,0,0.0,0,0.0,499.45,TREND_CHECK_EXIT,500.95,425.81,24.5,32.4,2.44,51350.4,2070.4,7.23,22.5,40.0,2.25,2005.65,2.01
2024-09-13,CALL,0.55,365.29,51804.25,1,30,0,0.0,0,0.0,343.49,LOSING_CLOSE,400.66,0.0,41.0,65.4,1.53,51751.9,-327.08,43.84,22.5,40.0,1.55,-391.12,-0.39
2024-09-20,CALL,0.36,376.04,53334.15,1,2,0,0.0,0,0.0,377.07,NO_MOVE,397.39,0.0,38.1,77.2,1.55,53159.2,15.43,3.01,22.5,40.0,1.7,-48.77,-0.05
2024-09-30,PUT,-0.52,238.0,53249.7,1,43,0,0.0,0,0.0,327.02,TREND_CHECK_EXIT,328.52,279.25,57.3,9.3,1.46,53497.2,1335.32,40.94,22.5,40.0,1.47,1271.35,1.27
2024-10-25,PUT,-0.38,361.3,51236.1,1,2,0,0.0,0,0.0,522.48,TREND_CHECK_EXIT,523.98,445.38,21.9,32.4,3.28,51424.9,2417.57,2.89,22.5,40.0,2.35,2352.72,2.35
2024-10-28,CALL,0.41,228.98,51217.65,1,8,0,0.0,0,0.0,326.7,TRAIL_SL,386.12,328.2,43.8,71.8,2.58,51117.3,1465.84,7.33,22.5,40.0,1.47,1401.87,1.4
2024-10-31,PUT,-0.39,397.94,51534.9,1,15,0,0.0,0,0.0,405.29,TRAIL_SL,478.58,406.79,33.6,28.1,2.11,51640.7,110.18,23.88,22.5,40.0,1.82,45.86,0.05
