signal_id,date,time,index,direction,direction_int,conditions_met,close,vwap,vwap_distance,near_fib,fib_label,fib_level,fib_distance,rsi,adx,ema_bull,ema_bear,vol_spike,vol_ratio,pcr,swing_high,swing_low,dte,capital_before,capital_used,risk_amount,entry_premium,stop_loss,target,exit_premium,pnl,pnl_pct,exit_reason,trade_taken,outcome
E52BF5B3,2025-07-16,13:00:00,SENSEX,CALL,1,4,82621.49,82473.97,147.52,1,near_PDH,82743.62,122.13,79.95,12.32,1,0,0,0.0,1.0,82743.62,82221.74,2,103622.0,22025.4,5141.1,367.09,293.67,477.22,410.73,2618.4,11.89,Profit lock (14:00),1,1
451AED69,2025-07-29,13:45:00,SENSEX,CALL,1,4,81113.7,80866.67,247.03,1,near_PDL,80776.44,337.26,73.2,15.39,1,0,0,0.0,1.0,81557.41,80776.44,3,106240.4,22083.5,5272.02,441.67,353.34,574.17,472.92,1562.5,7.08,Profit lock (14:00),1,1
691B719B,2025-07-31,14:30:00,SENSEX,CALL,1,5,81510.21,81288.82,221.39,1,near_PDH,81618.96,108.75,62.68,30.96,1,0,0,0.0,1.0,81618.96,81187.06,1,107802.9,23047.2,5350.15,256.08,204.86,384.12,204.86,-4609.8,-20.0,Stop-loss,1,0
A1E92E16,2025-09-02,14:15:00,SENSEX,PUT,0,5,80131.17,80606.27,-475.1,1,near_PDH,80406.84,275.67,17.92,21.18,0,1,0,0.0,1.0,80406.84,79818.38,3,103193.1,21772.0,5119.66,435.44,348.35,653.16,348.35,-4354.5,-20.0,Stop-loss,1,0
BE724621,2025-09-03,14:00:00,SENSEX,CALL,1,4,80365.85,80188.65,177.2,1,near_PDH,80761.14,395.29,63.76,12.72,1,0,0,0.0,1.0,80761.14,80008.5,2,98838.6,21421.2,4901.93,357.02,285.62,464.13,370.08,783.6,3.66,Profit lock (14:00),1,1
E46F421E,2025-09-04,14:00:00,SENSEX,PUT,0,5,80849.46,80991.7,-142.24,1,near_PDH,80671.28,178.18,35.83,24.54,0,1,0,0.0,1.0,80671.28,80004.6,1,99622.2,22843.8,4941.11,253.82,203.06,380.73,322.42,6174.0,27.03,Profit lock (14:00),1,1
99DD03C4,2025-09-23,14:15:00,SENSEX,CALL,1,4,82192.54,82030.62,161.92,1,near_PDH,82583.16,390.62,64.6,17.87,1,0,0,0.0,1.0,82583.16,81997.29,3,105796.2,22354.0,5249.81,447.08,357.66,581.2,471.77,1234.5,5.52,Profit lock (14:00),1,1
7C1A752E,2025-10-13,14:30:00,SENSEX,CALL,1,5,82416.07,82211.68,204.39,1,near_PDH,82654.11,238.04,68.62,21.92,1,0,0,0.0,1.0,82654.11,82072.93,4,107030.7,,,517.47,413.98,776.21,,,,premium_out_of_range,0,-1
26EC5703,2025-10-20,14:30:00,SENSEX,PUT,0,4,84265.5,84431.37,-165.87,1,near_PDH,84172.24,93.26,35.22,10.23,0,1,0,0.0,1.0,84172.24,83206.08,4,107030.7,,,529.22,423.38,687.99,,,,premium_out_of_range,0,-1
A6ECC6C5,2025-11-07,13:00:00,SENSEX,CALL,1,4,83201.06,82946.19,254.87,1,near_PDL,83237.65,36.59,79.91,14.09,1,0,0,0.0,1.0,83846.35,83237.65,7,107030.7,,,691.18,552.94,898.53,,,,premium_out_of_range,0,-1
CE0042C6,2025-11-07,13:15:00,SENSEX,CALL,1,4,83184.11,82961.43,222.68,1,near_PDL,83237.65,53.54,77.11,19.92,1,0,0,0.0,1.0,83846.35,83237.65,7,107030.7,,,692.46,553.97,900.2,,,,premium_out_of_range,0,-1
F5FB0A60,2025-11-07,13:30:00,SENSEX,CALL,1,5,83336.06,82980.87,355.19,1,near_PDL,83237.65,98.41,82.89,25.7,1,0,0,0.0,1.0,83846.35,83237.65,7,107030.7,,,692.65,554.12,1038.97,,,,premium_out_of_range,0,-1
F9A76659,2025-11-07,13:45:00,SENSEX,CALL,1,5,83359.02,83001.48,357.54,1,near_PDL,83237.65,121.37,83.57,30.86,1,0,0,0.0,1.0,83846.35,83237.65,7,107030.7,,,691.45,553.16,1037.18,,,,premium_out_of_range,0,-1
5CDFFCA9,2025-11-07,14:00:00,SENSEX,CALL,1,5,83215.84,83015.82,200.02,1,near_PDL,83237.65,21.81,66.05,32.49,1,0,0,0.0,1.0,83846.35,83237.65,7,107030.7,,,690.94,552.75,1036.41,,,,premium_out_of_range,0,-1
621E54B3,2025-11-07,14:15:00,SENSEX,CALL,1,5,83155.19,83022.58,132.61,1,near_PDL,83237.65,82.46,60.29,30.97,1,0,0,0.0,1.0,83846.35,83237.65,7,107030.7,,,692.59,554.07,1038.88,,,,premium_out_of_range,0,-1
C45F3A5B,2025-11-07,14:30:00,SENSEX,CALL,1,5,83354.12,83035.19,318.93,1,near_PDL,83237.65,116.47,69.65,30.92,1,0,0,0.0,1.0,83846.35,83237.65,7,107030.7,,,691.99,553.59,1037.99,,,,premium_out_of_range,0,-1
190A4F83,2025-11-27,13:30:00,SENSEX,PUT,0,4,85541.8,85852.32,-310.52,1,near_PDH,85644.19,102.39,22.93,14.17,0,1,0,0.0,1.0,85644.19,84478.13,1,107030.7,24168.6,5311.53,268.54,214.83,349.1,214.83,-4833.9,-20.0,Stop-loss,1,0
C9EE6C48,2026-01-12,13:00:00,SENSEX,CALL,1,4,83623.6,83188.25,435.35,1,near_PDL,83402.28,221.32,75.13,11.57,1,0,0,0.0,1.0,84406.22,83402.28,4,102196.8,,,525.36,420.29,682.97,,,,premium_out_of_range,0,-1
