date,index,direction,gap_pct,vix,adx_val,rsi_val,entry_time,final_exit_time,entry_spot,entry_premium,lots,quantity,candles_held_5min,partial_lots,partial_premium,partial_pnl,final_lots,final_premium,final_exit_reason,gross_pnl,theta_cost,slippage_cost,brokerage_cost,stt_cost,net_pnl,net_pnl_pct,highest_premium,trailing_sl_at_exit
2025-04-11,BANKNIFTY,CALL,0.7,15.0,16.4,70.8,10:10:00,10:20:00,50927.8,357.64,3,45,2,0,0.0,0.0,3,303.99,SL_HIT,-2594.07,125.18,180,40.0,4.08,-2763.33,-17.17,357.64,0.0
2025-04-21,BANKNIFTY,CALL,1.18,15.0,70.6,86.0,10:25:00,13:25:00,55198.5,245.16,3,45,36,0,0.0,0.0,3,291.57,TRAIL_SL,1908.59,1973.05,180,40.0,3.91,-108.37,-0.98,331.33,291.57
2025-06-24,BANKNIFTY,CALL,0.56,15.0,34.9,78.1,09:35:00,10:30:00,56540.3,177.57,3,45,11,0,0.0,0.0,3,194.56,TRAIL_SL,584.7,380.47,180,40.0,2.6,161.63,2.02,221.09,194.56
2025-08-18,BANKNIFTY,CALL,1.13,15.0,12.0,80.0,10:15:00,10:40:00,56045.35,248.92,3,45,5,0,0.0,0.0,3,238.64,NO_MOVE,-642.67,215.17,180,40.0,3.19,-901.04,-8.04,248.92,0.0
2026-01-22,BANKNIFTY,CALL,0.77,15.0,30.4,64.8,09:55:00,10:15:00,59388.75,456.86,3,45,4,0,0.0,0.0,3,388.33,SL_HIT,-3263.8,310.15,180,40.0,5.22,-3619.17,-17.6,456.86,0.0
2026-01-28,BANKNIFTY,CALL,0.38,15.0,24.0,76.1,09:50:00,10:15:00,59462.55,494.08,2,30,5,0,0.0,0.0,2,493.57,NO_MOVE,-135.22,298.72,120,40.0,4.42,-478.35,-3.23,526.65,0.0
2026-03-06,BANKNIFTY,PUT,0.58,15.0,19.4,42.4,09:45:00,14:15:00,58574.6,411.34,3,45,54,0,0.0,0.0,3,458.24,TRAIL_SL,1930.4,4643.7,180,40.0,6.16,-2759.47,-14.91,520.72,458.24
2026-03-11,BANKNIFTY,PUT,0.37,15.0,34.1,47.5,09:50:00,10:15:00,56612.2,470.4,2,30,5,0,0.0,0.0,2,479.07,NO_MOVE,140.01,284.49,120,40.0,4.29,-188.78,-1.34,498.16,0.0
2026-03-24,BANKNIFTY,CALL,1.82,15.0,45.1,58.4,09:45:00,10:00:00,52127.35,163.71,3,45,3,0,0.0,0.0,3,163.71,BE_STOP,-180.0,101.37,180,40.0,2.18,-323.55,-4.39,218.66,192.42
2026-03-25,BANKNIFTY,CALL,0.53,15.0,29.0,72.4,10:05:00,10:30:00,53666.75,445.92,3,45,5,0,0.0,0.0,3,453.0,NO_MOVE,138.62,409.26,180,40.0,6.09,-316.73,-1.58,470.14,0.0
2026-03-27,BANKNIFTY,PUT,0.83,15.0,31.3,30.5,10:30:00,11:10:00,52674.75,369.91,3,45,8,0,0.0,0.0,3,398.84,NO_MOVE,1121.65,561.35,180,40.0,5.36,514.94,3.09,420.91,0.0
2026-04-07,BANKNIFTY,PUT,0.62,15.0,37.1,58.4,09:55:00,10:15:00,52151.8,163.78,3,45,4,0,0.0,0.0,3,139.21,SL_HIT,-1285.52,110.55,180,40.0,1.85,-1437.91,-19.51,163.78,0.0
2026-04-10,BANKNIFTY,CALL,0.66,15.0,27.6,68.4,10:05:00,10:30:00,55777.1,391.69,3,45,5,0,0.0,0.0,3,403.28,TRAIL_SL,341.39,384.2,180,40.0,5.42,-88.22,-0.5,458.27,403.28
2026-04-13,BANKNIFTY,PUT,2.3,15.0,27.9,24.4,10:10:00,10:20:00,54741.0,243.13,3,45,2,0,0.0,0.0,3,206.66,SL_HIT,-1821.13,83.99,180,40.0,2.76,-1947.88,-17.8,243.13,0.0
2026-04-16,BANKNIFTY,CALL,0.71,15.0,32.4,71.1,09:35:00,10:00:00,56552.0,435.04,3,45,5,0,0.0,0.0,3,434.19,NO_MOVE,-218.19,380.19,180,40.0,5.83,-644.22,-3.29,453.96,0.0
2026-04-21,BANKNIFTY,CALL,0.48,15.0,28.6,60.4,10:20:00,11:30:00,57156.4,179.5,2,30,14,0,0.0,0.0,2,208.91,TRAIL_SL,762.23,374.28,120,40.0,1.86,346.09,6.43,237.4,208.91
