date,index,setup,direction,bias,gap_pct,signal_time,entry_time,entry_spot,entry_premium,sl_spot,tp_spot,lots,lot_size,quantity,partial1_lots,partial1_px,partial2_lots,partial2_px,exit_premium,gross_pnl,net_pnl,pnl_pct,exit_reason,dte
2024-11-08,BANKNIFTY,ORB,PUT,NEUTRAL,-0.044,11:55:00,12:00:00,51524.5,361.83,51703.4,51137.3,1,15,15,0,0.0,0,0.0,286.44,-1160.91,-1202.2,-22.09,Hard SL,5
2024-11-11,BANKNIFTY,ORB,CALL,NEUTRAL,0.059,10:35:00,10:40:00,51887.45,230.45,51530.56,52138.32,1,15,15,1,330.48911812101056,0,0.0,330.49,1470.59,1429.1,41.16,Partial 1 + close,2
2024-11-11,BANKNIFTY,ORB,CALL,NEUTRAL,0.059,11:10:00,11:15:00,52098.25,231.39,51530.56,52138.32,1,15,15,0,0.0,0,0.0,248.91,232.82,191.7,5.5,TP hit,2
2024-11-12,BANKNIFTY,PDH_PDL,PUT,BULLISH,0.466,10:00:00,10:05:00,51928.05,163.08,52266.05,51957.67,1,15,15,0,0.0,0,0.0,154.94,-152.13,-192.82,-7.83,VWAP TP,1
2024-11-13,BANKNIFTY,ORB,PUT,NEUTRAL,-0.175,10:35:00,10:40:00,50880.25,422.77,51085.96,50398.0,1,15,15,0,0.0,0,0.0,482.55,866.73,824.56,12.97,Trail SL,7
2024-11-21,BANKNIFTY,PDH_PDL,CALL,BULLISH,0.315,12:35:00,12:40:00,50465.25,388.22,50386.58,50177.88,1,15,15,0,0.0,0,0.0,385.89,-64.92,-106.65,-1.83,VWAP TP,6
2024-11-22,BANKNIFTY,VWAP,CALL,NEUTRAL,0.128,11:35:00,11:40:00,50843.05,357.04,50739.3,0.0,1,15,15,0,0.0,0,0.0,369.19,152.25,110.59,2.06,Trail SL,5
2024-12-02,BANKNIFTY,PDH_PDL,CALL,NEUTRAL,0.123,10:15:00,10:20:00,51892.9,230.48,51718.3,51863.99,1,15,15,0,0.0,0,0.0,223.06,-141.33,-182.33,-5.25,VWAP TP,2
2024-12-02,BANKNIFTY,PDH_PDL,CALL,NEUTRAL,0.123,13:55:00,14:00:00,51939.1,230.68,51718.3,51846.95,1,15,15,0,0.0,0,0.0,252.38,295.53,254.4,7.32,VWAP TP,2
2024-12-04,BANKNIFTY,ORB,CALL,NEUTRAL,0.216,10:50:00,10:55:00,53130.0,441.46,52882.06,53388.4,1,15,15,0,0.0,0,0.0,329.9,-1703.37,-1744.85,-26.29,Hard SL,7
