date,index,setup_type,direction,gap_pct,vix,adx_val,rsi_val,entry_time,exit_time,entry_spot,exit_spot,entry_premium,exit_premium,sl_pts,tp_pts,lots,quantity,candles_held,gross_pnl,theta_cost,slippage_cost,brokerage_cost,stt_cost,pnl,pnl_pct,exit_reason
2026-03-27,BANKNIFTY,GAP_GO,PUT,0.83,15.0,35.0,27.7,10:00:00,11:00:00,52629.1,52591.95,369.59,371.01,72.58,217.73,3,45,4,-116.07,771.95,180,40.0,4.98,-161.05,-0.97,MaxHold (4c)
2026-03-30,BANKNIFTY,GAP_GO,PUT,1.6,15.0,52.8,17.8,10:00:00,11:00:00,51104.4,50808.45,226.98,360.7,57.05,171.15,3,45,4,5837.37,641.51,180,40.0,4.84,5792.52,56.71,MaxHold (4c)
2026-04-01,BANKNIFTY,GAP_GO,CALL,2.04,15.0,53.3,57.6,10:00:00,10:15:00,51451.95,51194.95,427.52,418.42,9.1,27.3,3,45,1,-589.5,230.86,180,40.0,5.62,-635.12,-3.3,SL (-9.1pts)
2026-04-02,BANKNIFTY,GAP_GO,PUT,1.75,15.0,32.0,29.8,10:15:00,11:15:00,50081.4,50081.15,385.26,367.59,45.92,137.77,3,45,4,-975.09,800.72,180,40.0,4.94,-1020.03,-5.88,MaxHold (4c)
2026-04-07,BANKNIFTY,GAP_GO,PUT,0.62,15.0,34.5,52.0,09:30:00,10:15:00,52020.45,52238.95,163.37,52.39,110.98,332.93,3,45,3,-5174.1,182.46,180,40.0,0.68,-5214.78,-70.93,SL (-111.0pts)
2026-04-08,BANKNIFTY,GAP_GO,CALL,4.17,15.0,45.2,88.3,10:15:00,11:15:00,55324.4,55457.4,459.7,502.49,86.45,259.35,3,45,4,1745.69,1066.81,180,40.0,6.76,1698.94,8.21,MaxHold (4c)
2026-04-10,BANKNIFTY,GAP_GO,CALL,0.66,15.0,30.4,72.4,10:00:00,11:00:00,55849.15,55849.4,392.2,374.24,118.38,355.12,3,45,4,-988.24,813.87,180,40.0,5.03,-1033.27,-5.85,MaxHold (4c)
2026-04-13,BANKNIFTY,GAP_GO,PUT,2.3,15.0,32.5,29.4,10:00:00,10:15:00,54741.0,54903.1,243.13,210.6,32.53,97.58,3,45,1,-1643.85,131.29,180,40.0,2.82,-1686.67,-15.42,SL (-32.5pts)
2026-04-15,BANKNIFTY,GAP_GO,CALL,1.39,15.0,28.4,74.1,09:45:00,10:45:00,56445.6,56329.1,469.01,416.01,53.0,159.0,3,45,4,-2565.0,1027.33,180,40.0,5.59,-2610.59,-12.37,SL (-53.0pts)
2026-04-16,BANKNIFTY,GAP_GO,CALL,0.71,15.0,33.6,60.3,09:30:00,09:45:00,56507.0,56457.0,434.69,426.59,8.1,24.3,3,45,1,-544.5,234.73,180,40.0,5.73,-590.23,-3.02,SL (-8.1pts)
2026-04-21,BANKNIFTY,GAP_GO,CALL,0.48,15.0,28.3,63.9,10:15:00,10:30:00,57142.95,57277.35,179.46,212.91,11.15,33.45,2,30,1,883.5,64.61,120,40.0,1.9,841.6,15.63,TP (+33.5pts)
