date,index,setup,direction,bias,gap_pct,signal_time,entry_time,entry_spot,sl_spot,tp_spot,sl_pts,lots,lot_size,quantity,exit_spot,gross_pnl,net_pnl,pnl_pct,exit_reason
2024-06-06,BANKNIFTY,SMC,CALL,BULLISH,1.186,11:50:00,11:55:00,49365.4,49130.8,49834.6,234.6,1,15,15,49331.05,-530.25,-644.25,-0.09,NO_MOVE_TREND_LOST
2024-06-06,BANKNIFTY,PDH_PDL,PUT,BULLISH,1.186,13:45:00,13:50:00,49197.4,49296.13,49099.01,98.73,1,15,15,49070.75,1914.75,1801.14,0.24,TP hit
2024-06-07,BANKNIFTY,ORB,CALL,NEUTRAL,-0.028,10:35:00,10:40:00,49614.95,49466.59,50015.08,148.36,1,15,15,49823.45,3112.5,2997.77,0.4,Hard close (15:15)
2024-06-11,BANKNIFTY,ORB,CALL,NEUTRAL,0.124,10:30:00,10:35:00,49899.1,49749.8,50121.58,149.3,1,15,15,49711.65,-2826.75,-2941.32,-0.39,SL hit
2024-06-12,BANKNIFTY,PDH_PDL,PUT,BULLISH,0.413,13:40:00,13:45:00,49966.05,50065.99,49866.12,99.94,1,15,15,49923.0,660.75,545.87,0.07,Hard close (15:15)
2024-06-19,BANKNIFTY,VWAP,CALL,NEUTRAL,0.255,10:55:00,11:00:00,51028.0,50925.94,0.0,102.06,1,15,15,50916.2,-1692.0,-1808.37,-0.24,SL hit
2024-06-19,BANKNIFTY,ORB,CALL,NEUTRAL,0.255,11:40:00,11:45:00,51062.9,50909.99,51758.88,152.91,1,15,15,51132.7,1032.0,915.3,0.12,NO_MOVE_EXTENDED
2024-06-21,BANKNIFTY,ORB,PUT,BULLISH,0.322,10:45:00,10:50:00,51383.0,51537.54,50880.35,154.54,1,15,15,51477.75,-1406.25,-1523.47,-0.2,NO_MOVE_EXTENDED
2024-06-24,BANKNIFTY,PDH_PDL,CALL,BEARISH,-0.538,10:20:00,10:25:00,51356.8,51254.09,51459.51,102.71,1,15,15,51477.6,1797.0,1679.78,0.22,TP hit
2024-06-24,BANKNIFTY,ORB,CALL,BEARISH,-0.538,11:00:00,11:05:00,51533.55,51379.37,51778.52,154.18,1,15,15,51720.45,2788.5,2670.92,0.35,Hard close (15:15)
2024-06-25,BANKNIFTY,ORB,CALL,NEUTRAL,0.096,10:45:00,10:50:00,52161.3,52005.38,52312.27,155.92,1,15,15,52076.65,-1284.75,-1402.86,-0.18,NO_MOVE_EXTENDED
2024-06-25,BANKNIFTY,SMC,PUT,NEUTRAL,0.096,13:10:00,13:15:00,52495.15,52558.5,52368.46,63.35,1,15,15,52574.0,-1167.75,-1286.61,-0.16,SL hit
2024-06-26,BANKNIFTY,ORB,CALL,NEUTRAL,0.044,11:25:00,11:30:00,52819.85,52661.74,53092.9,158.11,1,15,15,52848.35,412.5,293.23,0.04,NO_MOVE_EXTENDED
2024-07-02,BANKNIFTY,ORB,PUT,BULLISH,0.518,11:40:00,11:45:00,52094.3,52250.93,51280.07,156.63,1,15,15,52147.85,-788.25,-906.47,-0.12,NO_MOVE_EXTENDED
2024-07-08,BANKNIFTY,VWAP,PUT,NEUTRAL,-0.19,10:30:00,10:35:00,52496.85,52601.84,0.0,104.99,1,15,15,52395.25,1539.0,1420.41,0.18,Hard close (15:15)
2024-07-12,BANKNIFTY,VWAP,CALL,NEUTRAL,-0.063,10:50:00,10:55:00,52495.4,52390.41,0.0,104.99,1,15,15,52551.5,826.5,707.67,0.09,NO_MOVE_EXTENDED
2024-07-18,BANKNIFTY,VWAP,CALL,BEARISH,-0.353,12:10:00,12:15:00,52424.05,52319.2,0.0,104.85,1,15,15,52610.3,2778.75,2659.84,0.34,Hard close (15:15)
2024-07-19,BANKNIFTY,ORB,PUT,NEUTRAL,-0.053,10:55:00,11:00:00,52229.4,52386.42,51969.75,157.02,1,15,15,52309.0,-1179.0,-1297.46,-0.17,NO_MOVE_EXTENDED
2024-07-23,BANKNIFTY,VWAP,PUT,BULLISH,0.349,11:15:00,11:20:00,52144.65,52248.94,0.0,104.29,1,15,15,51954.85,2862.0,2744.07,0.35,Trail SL
2024-07-24,BANKNIFTY,SMC,PUT,NEUTRAL,-0.192,13:20:00,13:25:00,51163.6,51230.8,51029.2,67.2,1,15,15,51297.25,-1989.75,-2106.7,-0.27,SL hit
2024-07-26,BANKNIFTY,ORB,CALL,BEARISH,-0.846,11:55:00,12:00:00,50960.45,50807.82,51533.55,152.63,1,15,15,51297.05,5034.0,4917.06,0.64,Hard close (15:15)
2024-07-29,BANKNIFTY,ORB,CALL,BULLISH,0.378,10:55:00,11:00:00,52099.9,51944.08,52698.65,155.82,1,15,15,51833.8,-4006.5,-4124.25,-0.53,SL hit
2024-07-30,BANKNIFTY,ORB,CALL,NEUTRAL,-0.011,11:30:00,11:35:00,51746.85,51592.05,52109.05,154.8,1,15,15,51718.7,-437.25,-554.83,-0.07,NO_MOVE_EXTENDED
2024-07-30,BANKNIFTY,SMC,PUT,NEUTRAL,-0.011,13:10:00,13:15:00,51802.6,51988.83,51430.14,186.23,1,15,15,51837.85,-513.75,-631.51,-0.08,NO_MOVE_TREND_LOST
2024-08-02,BANKNIFTY,ORB,CALL,BEARISH,-0.841,10:30:00,10:35:00,51450.0,51295.87,51810.23,154.13,1,15,15,51467.35,245.25,128.05,0.02,NO_MOVE_EXTENDED
2024-08-05,BANKNIFTY,ORB,PUT,BEARISH,-1.464,10:45:00,10:50:00,50098.9,50249.94,49745.42,151.04,1,15,15,50064.6,529.5,414.4,0.06,Hard close (15:15)
2024-08-06,BANKNIFTY,ORB,PUT,BULLISH,0.761,10:40:00,10:45:00,49964.8,50115.93,49864.87,151.13,1,15,15,50152.45,-2799.75,-2914.98,-0.39,SL hit
2024-08-07,BANKNIFTY,VWAP,PUT,BULLISH,1.037,11:00:00,11:05:00,49907.05,50006.86,0.0,99.81,1,15,15,50049.05,-2115.0,-2230.07,-0.3,SL hit
2024-08-12,BANKNIFTY,ORB,CALL,NEUTRAL,-0.137,10:55:00,11:00:00,50698.7,50547.32,50848.58,151.38,1,15,15,50644.7,-825.0,-940.97,-0.12,NO_MOVE_EXTENDED
2024-08-16,BANKNIFTY,VWAP,CALL,BULLISH,0.777,11:25:00,11:30:00,50102.7,50002.49,0.0,100.21,1,15,15,50506.45,6041.25,5925.49,0.79,Hard close (15:15)
2024-08-20,BANKNIFTY,ORB,CALL,NEUTRAL,-0.003,11:05:00,11:10:00,50811.35,50659.33,51083.85,152.02,1,15,15,50793.85,-277.5,-393.69,-0.05,Hard close (15:15)
2024-08-21,BANKNIFTY,VWAP,CALL,NEUTRAL,-0.103,11:20:00,11:25:00,50569.65,50468.51,0.0,101.14,1,15,15,50366.6,-3060.75,-3176.3,-0.42,SL hit
2024-09-03,BANKNIFTY,SMC,CALL,NEUTRAL,0.093,11:15:00,11:20:00,51351.15,51209.24,51634.97,141.91,1,15,15,51324.05,-421.5,-538.49,-0.07,NO_MOVE_TREND_LOST
2024-09-09,BANKNIFTY,ORB,CALL,NEUTRAL,-0.155,10:40:00,10:45:00,50771.95,50619.88,51174.52,152.07,1,15,15,50687.85,-1276.5,-1392.53,-0.18,NO_MOVE_EXTENDED
2024-09-09,BANKNIFTY,SMC,CALL,NEUTRAL,-0.155,12:30:00,12:35:00,50680.2,50533.44,50973.72,146.76,1,15,15,50679.4,-27.0,-143.02,-0.02,NO_MOVE_TREND_LOST
2024-09-10,BANKNIFTY,PDH_PDL,PUT,BULLISH,0.395,11:05:00,11:10:00,51081.65,51184.04,50979.49,102.39,1,15,15,51186.5,-1557.75,-1674.53,-0.22,SL hit
2024-09-11,BANKNIFTY,ORB,CALL,NEUTRAL,-0.115,10:30:00,10:35:00,51357.1,51203.23,51650.42,153.87,1,15,15,51146.55,-3173.25,-3289.97,-0.43,SL hit
2024-09-12,BANKNIFTY,VWAP,PUT,BULLISH,0.345,12:20:00,12:25:00,51139.6,51241.88,0.0,102.28,1,15,15,51187.9,-709.5,-826.28,-0.11,NO_MOVE_TREND_LOST
2024-09-18,BANKNIFTY,ORB,CALL,NEUTRAL,0.062,10:40:00,10:45:00,52682.9,52525.55,52895.3,157.35,1,15,15,52773.8,1348.5,1229.34,0.16,NO_MOVE_EXTENDED
