date,index,setup,direction,bias,gap_pct,signal_time,entry_time,entry_spot,entry_premium,sl_spot,lots,lot_size,quantity,exit_premium,gross_pnl,net_pnl,pnl_pct,exit_reason,dte
2024-03-18,BANKNIFTY,ORB,PUT,NEUTRAL,-0.179,11:10:00,11:15:00,46200.7,205.2,46487.14,1,15,15,344.3,-2116.44,-2157.99,-70.45,Short SL,2
2024-03-19,BANKNIFTY,VWAP,CALL,BEARISH,-0.42,11:15:00,11:20:00,46514.15,146.08,46415.55,1,15,15,228.75,-1270.02,-1311.06,-60.25,Short SL,1
2024-03-20,BANKNIFTY,ORB,PUT,NEUTRAL,0.129,10:40:00,10:45:00,45914.2,381.51,46401.24,1,15,15,577.02,-2962.71,-3005.31,-52.65,Short SL,7
2024-03-21,BANKNIFTY,SMC,CALL,BULLISH,0.657,12:15:00,12:20:00,46692.85,359.2,46551.47,1,15,15,339.75,261.79,220.25,4.1,Hard close (14:30),6
2024-03-28,BANKNIFTY,ORB,CALL,NEUTRAL,-0.05,10:35:00,10:40:00,47260.55,363.56,47052.62,1,15,15,233.41,1922.29,1881.24,34.59,Hard close (14:30),6
2024-04-04,BANKNIFTY,ORB,PUT,BULLISH,0.892,10:50:00,10:55:00,47746.8,367.3,48027.82,1,15,15,435.83,-1058.02,-1099.99,-20.02,Hard close (14:30),6
2024-04-05,BANKNIFTY,ORB,CALL,NEUTRAL,-0.045,11:20:00,11:25:00,48193.7,338.44,48042.58,1,15,15,218.18,1773.95,1732.96,34.24,Hard close (14:30),5
2024-04-08,BANKNIFTY,VWAP,PUT,NEUTRAL,0.136,13:25:00,13:30:00,48511.4,215.46,48704.4,1,15,15,256.02,-638.39,-679.55,-21.12,Hard close (14:30),2
2024-04-09,BANKNIFTY,SMC,PUT,BULLISH,0.505,11:35:00,11:40:00,48928.2,153.66,48980.32,1,15,15,15.82,2037.57,1997.49,87.23,Short TP,1
2024-04-12,BANKNIFTY,VWAP,PUT,BEARISH,-0.492,12:15:00,12:20:00,48662.65,305.65,48797.35,1,15,15,253.19,756.83,715.68,15.66,Hard close (14:30),4
2024-04-18,BANKNIFTY,VWAP,PUT,NEUTRAL,-0.012,13:25:00,13:30:00,47345.3,364.21,47689.4,1,15,15,298.44,956.54,915.2,16.8,Hard close (14:30),6
2024-04-19,BANKNIFTY,ORB,CALL,BEARISH,-0.821,11:40:00,11:45:00,47011.6,330.14,46772.78,1,15,15,42.63,4282.71,4242.51,85.93,Short TP,5
2024-04-25,BANKNIFTY,VWAP,PUT,BEARISH,-0.877,10:50:00,10:55:00,48108.55,370.09,48240.65,1,15,15,542.65,-2618.35,-2660.8,-48.06,Hard close (14:30),6
2024-04-30,BANKNIFTY,VWAP,PUT,BULLISH,2.47,11:45:00,11:50:00,49515.45,155.51,49591.3,1,15,15,305.93,-2286.37,-2327.75,-100.44,Short SL,1
2024-05-03,BANKNIFTY,ORB,PUT,NEUTRAL,0.267,11:20:00,11:25:00,48967.95,343.88,49443.56,1,15,15,228.32,1703.34,1662.3,32.32,Hard close (14:30),5
