date,index,direction,or_high,or_low,or_range_pct,breakout_time,breakout_price,entry_premium,exit_premium,lots,lot_size,quantity,gross_pnl,net_pnl,pnl_pct,exit_reason,dte
2024-02-20,SENSEX,CALL,72727.87,72510.24,0.0030013691859244996,10:15:00,72827.25,396.15,305.81,2,10,20,-1886.77,-1928.59,-24.34,SL hit,3
2024-02-22,SENSEX,PUT,72724.53,72443.78,0.0038754189800697864,10:00:00,72243.65,226.88,169.68,3,10,30,-1836.05,-1877.56,-27.59,SL hit,1
2024-03-13,SENSEX,PUT,74052.75,73777.56,0.0037299959499880768,10:15:00,73648.9,327.1,533.84,2,10,20,4054.75,4011.55,61.32,Target hit,2
2024-03-14,SENSEX,CALL,72766.81,72497.19,0.003719040696611763,10:30:00,72938.11,229.07,372.09,3,10,30,4170.68,4127.35,60.06,Target hit,1
2024-03-18,SENSEX,CALL,72769.79,72470.74,0.004126492981857069,12:15:00,72864.62,457.67,411.26,1,10,10,-504.09,-545.32,-11.92,Hard close,4
2024-03-20,SENSEX,PUT,72268.6,72036.86,0.0032169642041588883,10:00:00,71867.84,319.19,184.5,2,10,20,-2773.85,-2814.94,-44.1,SL hit,2
2024-04-04,SENSEX,PUT,74501.73,74222.78,0.003758280139870766,10:00:00,73730.74,231.55,162.4,3,10,30,-2194.46,-2235.9,-32.19,SL hit,1
2024-04-15,SENSEX,CALL,73727.44,73315.16,0.005623393579172423,10:45:00,73894.34,464.14,363.47,1,10,10,-1046.75,-1087.83,-23.44,SL hit,4
2024-05-02,SENSEX,CALL,74687.66,74360.69,0.004397081307341301,12:00:00,74769.33,234.82,184.28,3,10,30,-1636.32,-1677.96,-23.82,SL hit,1
2024-05-08,SENSEX,CALL,73418.14,73148.76,0.0036826324875500922,11:45:00,73498.4,326.44,235.25,2,10,20,-1903.73,-1945.13,-29.79,SL hit,2
2024-05-09,SENSEX,PUT,73499.49,73250.3,0.0034018973301133556,10:00:00,73081.75,229.52,396.62,3,10,30,4893.1,4849.55,70.43,Target hit,1
2024-05-13,SENSEX,PUT,72603.18,72202.14,0.00555440600514048,10:00:00,72046.44,452.53,336.6,1,10,10,-1199.32,-1240.33,-27.41,SL hit,4
2024-05-14,SENSEX,CALL,73002.05,72683.99,0.004375929279611612,12:45:00,73115.6,397.72,386.67,2,10,20,-300.97,-343.27,-4.32,Hard close,3
2024-05-30,SENSEX,PUT,74493.55,74236.62,0.003460960372387746,10:00:00,74044.98,232.54,177.87,3,10,30,-1760.04,-1801.62,-25.83,SL hit,1
2024-06-05,SENSEX,CALL,73027.88,71893.21,0.01578271438985682,11:00:00,73546.6,326.65,192.96,2,10,20,-2753.84,-2794.99,-42.78,SL hit,2
2024-06-06,SENSEX,CALL,75078.7,74526.06,0.0074153926827743135,10:45:00,75219.28,236.23,94.88,3,10,30,-4360.65,-4401.48,-62.11,SL hit,1
2024-06-24,SENSEX,CALL,77054.79,76745.94,0.004024317116970504,10:30:00,77153.85,484.61,444.14,1,10,10,-444.73,-486.06,-10.03,Hard close,4
2024-06-27,SENSEX,CALL,78771.64,78467.34,0.0038780465860063936,10:00:00,78954.87,247.96,73.39,2,10,20,-3571.39,-3611.81,-72.83,SL hit,1
2024-07-02,SENSEX,PUT,79855.87,79489.03,0.004614976431338972,12:30:00,79400.57,431.91,339.35,1,10,10,-965.64,-1006.65,-23.31,SL hit,3
2024-07-10,SENSEX,PUT,80481.36,80144.17,0.004207292932224544,10:00:00,79993.86,355.28,551.64,1,10,10,1923.59,1881.94,52.97,Target hit,2
2024-07-24,SENSEX,PUT,80483.74,80195.34,0.003596218932421868,10:15:00,80113.47,355.82,275.24,1,10,10,-845.85,-886.67,-24.92,SL hit,2
2024-08-01,SENSEX,PUT,82129.49,81877.16,0.0030818118263994713,12:00:00,81784.18,256.85,197.32,2,10,20,-1270.57,-1311.74,-25.54,SL hit,1
2024-08-05,SENSEX,PUT,79780.61,78580.46,0.015272880815408743,12:30:00,78425.03,492.59,364.76,1,10,10,-1318.33,-1359.42,-27.6,SL hit,4
